zip_code,district,postal_area_name,percent_of_zip_code_population_in_district
89010,3,Dyer,100
89019,3,Jean,19.23076923
89019,23,Jean,80.76923077
89060,3,Pahrump,100
89061,3,Pahrump,100
89439,3,Verdi,100
90001,37,Los Angeles,19.9806656
90001,42,Los Angeles,80.0193344
90002,37,Los Angeles,7.200376294
90002,42,Los Angeles,30.41580433
90002,43,Los Angeles,62.38381938
90002,44,Los Angeles,0
90003,37,Los Angeles,60.72645814
90003,43,Los Angeles,39.27354186
90004,30,Los Angeles,29.66288299
90004,34,Los Angeles,70.33711701
90005,30,Los Angeles,8.094874562
90005,34,Los Angeles,91.90512544
90006,34,Los Angeles,90.72970513
90006,37,Los Angeles,9.27029487
90007,34,Los Angeles,6.57727628
90007,37,Los Angeles,93.42272372
90008,37,Los Angeles,100
90010,30,Los Angeles,11.75925926
90010,34,Los Angeles,88.24074074
90011,37,Los Angeles,99.98924815
90011,42,Los Angeles,0.010751847
90012,30,Los Angeles,0.224513308
90012,34,Los Angeles,99.77548669
90013,34,Los Angeles,100
90014,34,Los Angeles,42.90036741
90014,37,Los Angeles,57.09963259
90015,34,Los Angeles,34.46420729
90015,37,Los Angeles,65.53579271
90016,37,Los Angeles,100
90017,34,Los Angeles,89.19948709
90017,37,Los Angeles,10.80051291
90018,37,Los Angeles,100
90019,30,Los Angeles,4.862746363
90019,34,Los Angeles,15.09306151
90019,37,Los Angeles,80.04419212
90020,30,Los Angeles,7.03726676
90020,34,Los Angeles,92.96273324
90021,34,Los Angeles,52.42681048
90021,37,Los Angeles,47.57318952
90022,28,Los Angeles,0
90022,34,Los Angeles,98.46862067
90022,38,Los Angeles,0.099198661
90022,42,Los Angeles,1.432180666
90023,34,Los Angeles,99.89769042
90023,42,Los Angeles,0.102309584
90024,32,Los Angeles,10.49336007
90024,36,Los Angeles,89.50663993
90025,32,Los Angeles,34.91840056
90025,36,Los Angeles,65.08159944
90025,37,Los Angeles,0
90026,30,Los Angeles,60.41150184
90026,34,Los Angeles,39.58849816
90027,30,Los Angeles,100
90028,30,Los Angeles,100
90029,30,Los Angeles,100
90031,30,Los Angeles,5.683979321
90031,34,Los Angeles,94.31602068
90032,34,Los Angeles,100
90033,34,Los Angeles,100
90034,36,Los Angeles,39.34245521
90034,37,Los Angeles,60.65754479
90035,37,Los Angeles,100
90036,30,Los Angeles,99.91908771
90036,37,Los Angeles,0.080912286
90037,37,Los Angeles,100
90038,30,Los Angeles,100
90039,30,Los Angeles,99.49392352
90039,34,Los Angeles,0.506076482
90040,34,Los Angeles,5.260981057
90040,42,Los Angeles,94.73901894
90041,30,Los Angeles,0
90041,34,Los Angeles,100
90042,28,Los Angeles,0.2641736
90042,34,Los Angeles,99.7358264
90043,37,Los Angeles,99.89605665
90043,43,Los Angeles,0.103943351
90044,37,Los Angeles,44.53865231
90044,43,Los Angeles,55.46134769
90045,36,Los Angeles,81.03326429
90045,37,Los Angeles,0.058486658
90045,43,Los Angeles,18.90824906
90046,30,Los Angeles,90.66157201
90046,32,Los Angeles,9.338427991
90047,37,Los Angeles,71.57953503
90047,43,Los Angeles,28.42046497
90048,30,Los Angeles,98.66395328
90048,37,Los Angeles,1.336046717
90049,32,Los Angeles,100
90052,37,Los Angeles,100
90056,37,Los Angeles,90.82355816
90056,43,Los Angeles,9.176441838
90057,34,Los Angeles,100
90058,34,Los Angeles,1.999466809
90058,37,Los Angeles,88.29645428
90058,42,Los Angeles,9.704078912
90059,43,Los Angeles,100
90059,44,Los Angeles,0
90061,43,Los Angeles,100
90062,37,Los Angeles,100
90063,28,Los Angeles,0
90063,34,Los Angeles,100
90064,36,Los Angeles,99.28501434
90064,37,Los Angeles,0.714985664
90065,30,Los Angeles,0
90065,34,Los Angeles,100
90066,36,Los Angeles,100
90067,36,Los Angeles,1.525119617
90067,37,Los Angeles,98.47488038
90068,30,Los Angeles,98.64948073
90068,32,Los Angeles,1.350519273
90069,30,West Hollywood,82.78760202
90069,32,West Hollywood,17.21239798
