zip_code,lat,lng,city,population,density,county
90001,33.97365,-118.24904,Los Angeles,58245,6856,Los Angeles
90002,33.94906,-118.24679,Los Angeles,54384,7016.7,Los Angeles
90003,33.96409,-118.27368,Los Angeles,75190,8007.9,Los Angeles
90004,34.07624,-118.31101,Los Angeles,59621,7545.6,Los Angeles
90005,34.05939,-118.30909,Los Angeles,36910,12078.9,Los Angeles
90006,34.04807,-118.29411,Los Angeles,57136,11408.4,Los Angeles
90007,34.02819,-118.28486,Los Angeles,41270,6557,Los Angeles
90008,34.01037,-118.3428,Los Angeles,31046,4142.9,Los Angeles
90010,34.06209,-118.31262,Los Angeles,4313,4264.7,Los Angeles
90011,34.00689,-118.25861,Los Angeles,109511,9858.4,Los Angeles
90012,34.06679,-118.23878,Los Angeles,39709,4214.4,Los Angeles
90013,34.04435,-118.24,Los Angeles,13413,7342.6,Los Angeles
90014,34.04302,-118.25182,Los Angeles,8547,11022.8,Los Angeles
90015,34.03932,-118.26625,Los Angeles,24228,5524.5,Los Angeles
90016,34.02881,-118.35436,Los Angeles,45884,4925.2,Los Angeles
90017,34.05306,-118.26447,Los Angeles,28433,15527.8,Los Angeles
90018,34.0286,-118.31737,Los Angeles,51388,6612,Los Angeles
90019,34.04861,-118.33874,Los Angeles,61061,6090.9,Los Angeles
90020,34.06638,-118.30986,Los Angeles,38124,13238.3,Los Angeles
90021,34.02909,-118.23889,Los Angeles,2724,532,Los Angeles
90022,34.02455,-118.15608,Los Angeles,65110,5684.6,Los Angeles
90023,34.02264,-118.19986,Los Angeles,45732,4089.8,Los Angeles
90024,34.06565,-118.43521,Los Angeles,50611,6570.9,Los Angeles
90025,34.04551,-118.44583,Los Angeles,44608,6751.9,Los Angeles
90026,34.07883,-118.2637,Los Angeles,65921,6316.1,Los Angeles
90027,34.12515,-118.29049,Los Angeles,44678,2123.2,Los Angeles
90028,34.09982,-118.3268,Los Angeles,29887,7639.1,Los Angeles
90029,34.08983,-118.29467,Los Angeles,35037,9830.4,Los Angeles
90031,34.08122,-118.21081,Los Angeles,38533,4251.3,Los Angeles
90032,34.0793,-118.17835,Los Angeles,45298,3632.4,Los Angeles
90033,34.05117,-118.21165,Los Angeles,47495,5597.5,Los Angeles
90034,34.03059,-118.39936,Los Angeles,53321,6638.6,Los Angeles
90035,34.05139,-118.38577,Los Angeles,26411,4480.7,Los Angeles
90036,34.07013,-118.34978,Los Angeles,37596,5911,Los Angeles
90037,34.00271,-118.28747,Los Angeles,68885,9210.6,Los Angeles
90038,34.08882,-118.32671,Los Angeles,27995,6983,Los Angeles
90039,34.11242,-118.26153,Los Angeles,28839,3059.2,Los Angeles
90040,33.99318,-118.1489,Los Angeles,11844,821.3,Los Angeles
90041,34.13749,-118.20746,Los Angeles,28956,3110.8,Los Angeles
90042,34.11475,-118.192,Los Angeles,59658,5096.9,Los Angeles
