District,Congressman
1," Doug LaMalfa (R), since 2013"
2," Jared Huffman (D), since 2013"
3," Kevin Kiley (R), since 2023"
4," Mike Thompson (D), since 1999"
5," Tom McClintock (R), since 2009"
6," Ami Bera (D), since 2013"
7," Doris Matsui (D), since 2005"
8," John Garamendi (D), since 2009"
9," Josh Harder (D), since 2019"
10," Mark DeSaulnier (D), since 2015"
11," Nancy Pelosi (D), since 1987"
12," Barbara Lee (D), since 1998"
13," John Duarte (R), since 2023"
14," Eric Swalwell (D), since 2013"
15," Kevin Mullin (D), since 2023"
16," Anna Eshoo (D), since 1993"
17," Ro Khanna (D), since 2017"
18," Zoe Lofgren (D), since 1995"
19," Jimmy Panetta (D), since 2017"
20," Kevin McCarthy (R), since 2007"
21," Jim Costa (D), since 2005"
22," David Valadao (R), since 2021"
23," Jay Obernolte (R), since 2021"
24," Salud Carbajal (D), since 2017"
25," Raul Ruiz (D), since 2013"
26," Julia Brownley (D), since 2013"
27," Mike Garcia (R), since 2020"
28," Judy Chu (D), since 2009"
29," Tony Cárdenas (D), since 2013"
30," Adam Schiff (D), since 2001"
31," Grace Napolitano (D), since 1999"
32," Brad Sherman (D), since 1997"
33," Pete Aguilar (D), since 2015"
34," Jimmy Gomez (D), since 2017"
35," Norma Torres (D), since 2015"
36," Ted Lieu (D), since 2015"
37," Sydney Kamlager (D), since 2023"
38," Linda Sánchez (D), since 2003"
39," Mark Takano (D), since 2013"
40," Young Kim (R), since 2021"
41," Ken Calvert (R), since 1993"
42," Robert Garcia (D), since 2023"
43," Maxine Waters (D), since 1991"
44," Nanette Barragan (D), since 2017"
45," Michelle Steel (R), since 2021"
46," Lou Correa (D), since 2017"
47," Katie Porter (D), since 2019"
48," Darrell Issa (R), since 2021"
49," Mike Levin (D), since 2019"
50," Scott Peters (D), since 2013"
51," Sara Jacobs (D), since 2021"
52," Juan Vargas (D), since 2013"
