{\rtf1\ansi\ansicpg1252\cocoartf2709
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 Zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport\
29590,13288.0,30985.0,869.0,39.1,68600.0,1271.0,3543.0,718.0,2617.0,27.0,0.0,346.0,68.0,14.0\
93306,23580.0,54450.0,15853.0,31.3,211100.0,1541.0,74296.0,51869.0,1727.0,1208.0,2455.0,48116.0,5176.0,228.0\
93660,12475.0,39625.0,1057.0,26.7,171700.0,1114.0,4082.0,2231.0,40.0,0.0,0.0,3925.0,142.0,0.0\
93110,53375.0,93264.0,1332.0,46.9,844300.0,3063.0,15777.0,12042.0,311.0,287.0,674.0,4251.0,702.0,185.0\
93212,10656.0,42983.0,3911.0,34.4,162100.0,1160.0,22596.0,13033.0,2708.0,333.0,177.0,15641.0,2104.0,21.0\
14895,35838.0,48778.0,1242.0,50.5,74100.0,899.0,8957.0,8703.0,71.0,16.0,24.0,26.0,122.0,10.0\
14006,30155.0,56017.0,1663.0,46.2,125800.0,1177.0,9823.0,9418.0,82.0,61.0,52.0,254.0,175.0,46.0\
67514,21647.0,46875.0,210.0,31.3,70200.0,1018.0,963.0,947.0,1.0,4.0,0.0,19.0,8.0,0.0\
67844,29896.0,47262.0,93.0,45.8,98900.0,1080.0,744.0,667.0,0.0,2.0,0.0,118.0,39.0,0.0\
67861,29047.0,59201.0,165.0,38.9,102600.0,1228.0,1942.0,1749.0,22.0,12.0,0.0,619.0,32.0,0.0\
67212,30328.0,58867.0,4667.0,36.0,147000.0,1211.0,44396.0,38291.0,1416.0,298.0,790.0,5028.0,3010.0,121.0\
67567,24597.0,45682.0,78.0,39.6,57500.0,1098.0,654.0,646.0,0.0,0.0,0.0,19.0,8.0,0.0\
67576,30449.0,62083.0,210.0,39.1,92600.0,991.0,2067.0,1985.0,0.0,18.0,0.0,268.0,45.0,1.0\
45237,24918.0,38542.0,4837.0,40.0,115100.0,1180.0,22104.0,5118.0,15922.0,1.0,451.0,382.0,426.0,565.0\
45788,28504.0,66504.0,35.0,34.2,155200.0,928.0,1176.0,1112.0,0.0,0.0,0.0,0.0,64.0,10.0\
45819,23759.0,50417.0,44.0,31.9,82600.0,882.0,285.0,283.0,1.0,0.0,0.0,1.0,0.0,0.0\
83824,20327.0,53125.0,48.0,30.3,-666666666.0,1583.0,337.0,199.0,0.0,134.0,0.0,76.0,4.0,0.0\
83641,31484.0,61726.0,325.0,36.1,226200.0,1248.0,3720.0,3266.0,26.0,59.0,7.0,578.0,99.0,0.0\
83312,24428.0,-666666666.0,0.0,33.5,140000.0,-666666666.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0\
85016,53050.0,66759.0,4492.0,38.2,359000.0,1716.0,35627.0,26999.0,1469.0,660.0,1528.0,10988.0,2289.0,397.0\
85029,23984.0,50067.0,8683.0,35.8,207400.0,1308.0,47541.0,35748.0,3382.0,1166.0,1438.0,15332.0,3999.0,718.0\
85325,24061.0,29696.0,110.0,72.6,96200.0,867.0,1281.0,1259.0,0.0,0.0,5.0,0.0,17.0,0.0\
85701,37287.0,45862.0,1442.0,34.9,300000.0,1585.0,5279.0,4036.0,134.0,353.0,106.0,2018.0,398.0,210.0\
85015,21110.0,42038.0,12206.0,30.4,205700.0,1201.0,44010.0,24870.0,6030.0,1274.0,2533.0,20798.0,4943.0,1460.0\
84028,17820.0,56458.0,156.0,27.4,282100.0,896.0,573.0,419.0,0.0,0.0,0.0,154.0,0.0,0.0\
84106,40056.0,76751.0,3369.0,34.4,359500.0,1674.0,35166.0,30520.0,545.0,407.0,1159.0,3532.0,1119.0,855.0\
84003,34864.0,93741.0,2325.0,26.8,382700.0,1868.0,51917.0,47991.0,436.0,112.0,604.0,2996.0,1637.0,263.0\
84014,40284.0,100230.0,460.0,38.5,349400.0,1737.0,17527.0,16378.0,94.0,2.0,334.0,907.0,371.0,160.0\
84115,26757.0,47651.0,5101.0,32.9,253200.0,1384.0,27627.0,18275.0,2069.0,515.0,2588.0,7215.0,1177.0,860.0\
84064,20513.0,73015.0,71.0,28.1,165300.0,831.0,1007.0,951.0,0.0,0.0,0.0,76.0,47.0,0.0\
84032,32558.0,76699.0,1067.0,32.4,423700.0,1878.0,24229.0,22037.0,163.0,67.0,311.0,3609.0,1154.0,17.0\
84108,56242.0,107660.0,1607.0,35.1,579500.0,2389.0,21864.0,18972.0,291.0,27.0,1446.0,1161.0,597.0,479.0\
84601,21491.0,51440.0,5220.0,25.1,251700.0,1354.0,33771.0,29393.0,538.0,482.0,522.0,9940.0,1439.0,572.0\
93001,35490.0,66460.0,4487.0,38.8,579000.0,2285.0,31729.0,27211.0,274.0,499.0,705.0,13797.0,1683.0,376.0\
93234,13273.0,31788.0,2996.0,28.2,161100.0,1104.0,7258.0,2845.0,23.0,490.0,0.0,6868.0,738.0,48.0\
93307,14747.0,42128.0,24624.0,26.8,172500.0,1269.0,86273.0,56739.0,5803.0,935.0,1966.0,68928.0,3937.0,467.0\
93536,32443.0,84674.0,7492.0,36.9,352700.0,1983.0,68575.0,41823.0,8853.0,751.0,4105.0,22823.0,7332.0,364.0\
93546,36265.0,69702.0,1140.0,37.0,460800.0,2168.0,9750.0,8322.0,49.0,17.0,593.0,3073.0,389.0,1259.0\
93669,14809.0,-666666666.0,0.0,57.5,235800.0,-666666666.0,320.0,314.0,0.0,6.0,0.0,3.0,0.0,0.0\
93701,12332.0,23356.0,4659.0,28.5,184600.0,999.0,10398.0,5690.0,741.0,232.0,1011.0,7704.0,642.0,156.0\
93664,63794.0,106071.0,17.0,66.3,564100.0,1656.0,370.0,326.0,0.0,0.0,2.0,51.0,30.0,0.0\
93218,10557.0,26905.0,237.0,29.3,122700.0,1131.0,827.0,496.0,0.0,15.0,0.0,742.0,108.0,0.0\
93260,22064.0,41382.0,36.0,50.0,134700.0,1750.0,244.0,157.0,87.0,0.0,0.0,0.0,0.0,0.0\
93612,25650.0,46892.0,6138.0,33.6,226900.0,1469.0,35475.0,22373.0,1122.0,544.0,2822.0,14741.0,3323.0,112.0\
93621,66547.0,-666666666.0,0.0,47.9,-666666666.0,-666666666.0,118.0,117.0,0.0,0.0,1.0,82.0,0.0,0.0\
14031,50272.0,85655.0,315.0,48.8,268600.0,1666.0,10158.0,9522.0,165.0,0.0,59.0,260.0,406.0,102.0\
67210,19982.0,46661.0,2049.0,28.4,143600.0,1301.0,10001.0,5519.0,1457.0,45.0,1340.0,2025.0,875.0,43.0\
67219,24594.0,57025.0,2687.0,31.1,122700.0,1287.0,12240.0,7311.0,3022.0,81.0,984.0,1938.0,391.0,0.0\
67515,53573.0,80313.0,0.0,58.4,-666666666.0,-666666666.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0\
67522,29232.0,59286.0,93.0,46.9,124200.0,1206.0,1942.0,1877.0,0.0,6.0,2.0,39.0,53.0,0.0\
67867,26163.0,54896.0,127.0,34.1,127500.0,1293.0,1752.0,1742.0,0.0,0.0,6.0,114.0,4.0,0.0\
67871,30044.0,55568.0,375.0,39.6,139600.0,1472.0,4939.0,4525.0,0.0,3.0,77.0,903.0,123.0,20.0\
67220,31175.0,66466.0,2078.0,31.6,155600.0,1401.0,13004.0,7341.0,2795.0,33.0,1439.0,1504.0,1122.0,110.0\
67226,36428.0,69520.0,2055.0,34.3,219600.0,1658.0,20926.0,15816.0,2736.0,44.0,1000.0,1156.0,933.0,61.0\
67230,59140.0,125817.0,391.0,43.8,316300.0,2119.0,11121.0,8952.0,605.0,21.0,1336.0,479.0,178.0,0.0\
67601,30396.0,55176.0,3417.0,32.5,179400.0,1374.0,24020.0,22083.0,366.0,55.0,471.0,1661.0,793.0,8.0\
67635,29416.0,52500.0,19.0,54.5,-666666666.0,2167.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0\
13420,41928.0,90179.0,93.0,57.9,210100.0,1797.0,1064.0,1034.0,30.0,0.0,0.0,26.0,0.0,0.0\
13602,22168.0,-666666666.0,28.0,21.8,-666666666.0,-666666666.0,4383.0,2551.0,833.0,63.0,351.0,856.0,313.0,0.0\
13635,23913.0,55167.0,152.0,42.4,77100.0,1043.0,1108.0,1087.0,2.0,3.0,0.0,2.0,14.0,3.0\
13642,23560.0,40813.0,1512.0,45.1,94100.0,1118.0,10055.0,8825.0,564.0,50.0,5.0,525.0,446.0,0.0\
13654,21603.0,49338.0,926.0,29.6,103300.0,1132.0,2603.0,2576.0,10.0,0.0,2.0,11.0,15.0,5.0\
13656,23220.0,50667.0,407.0,33.3,134800.0,1306.0,2834.0,2700.0,109.0,10.0,0.0,33.0,15.0,0.0\
13659,23513.0,57000.0,59.0,51.5,103500.0,1116.0,382.0,381.0,0.0,0.0,0.0,4.0,1.0,0.0\
13660,25340.0,59375.0,295.0,35.5,106100.0,1099.0,1641.0,1574.0,4.0,5.0,6.0,40.0,52.0,3.0\
13669,25745.0,53915.0,2771.0,42.8,84500.0,1052.0,15870.0,14011.0,897.0,116.0,198.0,531.0,321.0,3.0\
52060,28983.0,51144.0,1348.0,42.6,102700.0,1059.0,8107.0,7656.0,112.0,1.0,20.0,141.0,169.0,10.0\
52064,28444.0,52422.0,44.0,37.1,133600.0,1149.0,846.0,828.0,0.0,0.0,0.0,5.0,18.0,1.0\
52077,30971.0,59375.0,21.0,53.1,65900.0,1089.0,317.0,298.0,0.0,0.0,19.0,0.0,0.0,0.0\
52144,42742.0,70398.0,16.0,49.8,142900.0,1220.0,1026.0,971.0,0.0,0.0,0.0,55.0,23.0,0.0\
52159,35659.0,61193.0,164.0,42.6,128300.0,1088.0,2412.0,2366.0,0.0,0.0,14.0,38.0,8.0,0.0\
52160,35614.0,71011.0,39.0,47.5,163500.0,1361.0,1003.0,1003.0,0.0,0.0,0.0,11.0,0.0,0.0\
52041,30883.0,73024.0,68.0,35.2,159000.0,1217.0,1886.0,1839.0,0.0,5.0,0.0,57.0,40.0,0.0\
52163,24164.0,48984.0,6.0,36.6,74200.0,817.0,352.0,351.0,1.0,0.0,0.0,0.0,0.0,0.0\
52172,27377.0,52597.0,519.0,41.8,134600.0,1163.0,6051.0,5816.0,1.0,67.0,0.0,126.0,42.0,0.0\
52201,35477.0,87679.0,42.0,38.9,155500.0,1399.0,1541.0,1371.0,9.0,0.0,0.0,242.0,29.0,0.0\
52206,38612.0,95750.0,92.0,37.0,239800.0,1650.0,2644.0,2602.0,27.0,0.0,4.0,5.0,11.0,19.0\
52222,27299.0,51518.0,55.0,55.5,88000.0,1082.0,531.0,517.0,0.0,0.0,1.0,13.0,13.0,0.0\
52241,42214.0,68038.0,2365.0,32.8,239900.0,1659.0,21473.0,14793.0,3391.0,70.0,2183.0,1044.0,802.0,483.0\
52246,36833.0,47888.0,6059.0,27.8,263500.0,2000.0,23233.0,15904.0,3079.0,70.0,3038.0,1128.0,855.0,1263.0\
52253,33487.0,77108.0,159.0,42.3,181000.0,1439.0,2966.0,2885.0,11.0,35.0,0.0,23.0,35.0,16.0\
52301,31335.0,59369.0,238.0,44.8,113400.0,1172.0,3493.0,3393.0,6.0,4.0,21.0,101.0,13.0,0.0\
52307,24408.0,-666666666.0,0.0,32.2,-666666666.0,-666666666.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0\
52316,27061.0,55500.0,115.0,41.1,105500.0,1242.0,1665.0,1654.0,0.0,0.0,0.0,1.0,11.0,0.0\
52066,29587.0,43750.0,12.0,58.8,73800.0,1313.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0\
52166,24853.0,48125.0,6.0,38.9,75000.0,850.0,93.0,92.0,0.0,1.0,0.0,0.0,0.0,0.0\
52211,36317.0,56936.0,376.0,38.8,134600.0,1173.0,2435.0,2433.0,2.0,0.0,0.0,65.0,0.0,0.0\
52219,34408.0,55625.0,29.0,52.4,85500.0,1069.0,165.0,164.0,0.0,0.0,0.0,0.0,1.0,0.0\
52314,30644.0,77778.0,552.0,28.5,221300.0,1599.0,5827.0,5534.0,52.0,0.0,82.0,173.0,132.0,0.0\
52359,30803.0,58854.0,5.0,40.3,151800.0,1438.0,204.0,195.0,0.0,1.0,0.0,3.0,8.0,0.0\
52560,37097.0,-666666666.0,16.0,46.7,89500.0,1340.0,229.0,229.0,0.0,0.0,0.0,14.0,0.0,0.0\
52318,36730.0,71528.0,51.0,50.8,156500.0,1202.0,950.0,950.0,0.0,0.0,0.0,18.0,0.0,0.0\
52338,54090.0,108008.0,127.0,44.7,304000.0,1988.0,3672.0,3398.0,8.0,48.0,138.0,23.0,80.0,2.0\
52342,26380.0,47262.0,407.0,46.3,107800.0,1164.0,3005.0,2666.0,34.0,183.0,10.0,252.0,64.0,27.0\
52354,33168.0,60938.0,23.0,59.4,170200.0,1794.0,315.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0\
52401,32231.0,39361.0,406.0,34.1,143100.0,1243.0,2173.0,1609.0,354.0,0.0,46.0,54.0,148.0,32.0\
52501,25800.0,45113.0,5030.0,39.3,84100.0,1025.0,29613.0,25168.0,1294.0,61.0,499.0,3791.0,1020.0,107.0\
52306,28314.0,63889.0,137.0,47.6,139200.0,1133.0,1436.0,1433.0,0.0,1.0,0.0,15.0,2.0,0.0\
52356,28742.0,51429.0,136.0,40.6,165500.0,1321.0,2600.0,2508.0,9.0,19.0,0.0,90.0,56.0,0.0\
52655,30097.0,50938.0,419.0,44.1,133500.0,1267.0,3978.0,3576.0,281.0,0.0,58.0,67.0,50.0,24.0\
52212,35598.0,71094.0,37.0,66.5,137500.0,843.0,258.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0\
52313,34715.0,75774.0,23.0,48.5,-666666666.0,1044.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0\
52355,28045.0,58056.0,42.0,44.3,111400.0,1050.0,328.0,286.0,0.0,0.0,0.0,46.0,0.0,3.0\
52158,26127.0,37917.0,34.0,53.1,106300.0,1125.0,250.0,240.0,0.0,3.0,0.0,0.0,7.0,0.0\
52345,33223.0,91875.0,52.0,32.3,157600.0,1355.0,1462.0,1442.0,0.0,0.0,3.0,30.0,7.0,10.0\
52349,29282.0,51650.0,1080.0,46.6,156900.0,1309.0,7765.0,7414.0,41.0,31.0,37.0,188.0,241.0,12.0\
60062,69088.0,116579.0,1630.0,49.9,537800.0,3014.0,39917.0,31234.0,1098.0,19.0,6617.0,1454.0,683.0,1959.0\
60074,35982.0,69416.0,4549.0,34.8,241300.0,1798.0,37632.0,22789.0,1844.0,276.0,3001.0,12303.0,1358.0,664.0\
60085,21211.0,48435.0,12733.0,31.8,123700.0,1366.0,71265.0,29030.0,14099.0,507.0,4227.0,41381.0,5059.0,1227.0\
60097,33091.0,77401.0,914.0,38.2,166500.0,1363.0,10727.0,9476.0,1.0,0.0,146.0,1542.0,883.0,98.0\
60104,27244.0,63006.0,2070.0,36.1,161600.0,1570.0,18799.0,2397.0,13663.0,11.0,146.0,3822.0,825.0,688.0\
60113,71276.0,79583.0,13.0,39.5,112500.0,1250.0,309.0,234.0,13.0,0.0,0.0,53.0,20.0,0.0\
60120,24796.0,67780.0,6536.0,32.8,175000.0,1457.0,50319.0,25786.0,2420.0,560.0,1960.0,30229.0,4517.0,578.0\
1079,31500.0,32963.0,0.0,52.3,195200.0,1585.0,515.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0\
1086,1769.0,-666666666.0,0.0,19.3,-666666666.0,-666666666.0,351.0,319.0,16.0,0.0,0.0,16.0,16.0,0.0\
1093,72930.0,97083.0,22.0,52.4,354000.0,1817.0,295.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0\
1094,23328.0,-666666666.0,143.0,49.1,198700.0,1478.0,428.0,412.0,0.0,0.0,0.0,27.0,16.0,0.0\
1097,18535.0,63750.0,27.0,33.8,-666666666.0,-666666666.0,93.0,89.0,0.0,0.0,0.0,0.0,4.0,0.0\
1199,-666666666.0,-666666666.0,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0\
1224,69098.0,-666666666.0,12.0,54.3,225700.0,1607.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0\
1229,45980.0,-666666666.0,0.0,70.1,425000.0,-666666666.0,59.0,59.0,0.0,0.0,0.0,7.0,0.0,0.0\
1243,47437.0,62708.0,11.0,61.4,236200.0,1688.0,258.0,238.0,0.0,11.0,0.0,0.0,9.0,0.0\
1260,39969.0,107614.0,27.0,57.7,666700.0,-666666666.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0\
1270,52230.0,86912.0,42.0,44.3,303400.0,1673.0,897.0,762.0,0.0,0.0,12.0,0.0,123.0,0.0\
1343,30297.0,73125.0,3.0,46.4,245500.0,1350.0,78.0,69.0,0.0,0.0,0.0,9.0,0.0,0.0\
1347,32244.0,-666666666.0,45.0,30.4,157400.0,-666666666.0,139.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0\
1354,40917.0,68173.0,93.0,46.5,255900.0,1560.0,1732.0,1615.0,34.0,0.0,55.0,2.0,28.0,0.0\
1434,29171.0,96500.0,142.0,44.7,329000.0,2102.0,2007.0,1121.0,508.0,21.0,293.0,219.0,35.0,0.0\
1525,20291.0,52750.0,58.0,25.7,-666666666.0,-666666666.0,309.0,264.0,0.0,0.0,0.0,45.0,0.0,0.0\
1561,45840.0,-666666666.0,0.0,81.4,-666666666.0,-666666666.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0\
1901,20787.0,26403.0,575.0,35.7,281100.0,1890.0,2370.0,801.0,662.0,54.0,12.0,1031.0,349.0,243.0\
1937,10062.0,-666666666.0,126.0,43.5,-666666666.0,-666666666.0,182.0,172.0,0.0,0.0,0.0,40.0,0.0,13.0\
1089,34958.0,54516.0,2928.0,37.1,235200.0,1734.0,28527.0,24071.0,763.0,111.0,1460.0,3257.0,1287.0,79.0\
1259,50738.0,78625.0,37.0,55.1,378900.0,1571.0,617.0,605.0,4.0,0.0,0.0,4.0,4.0,18.0\
1507,40606.0,102531.0,607.0,40.2,317800.0,1822.0,13610.0,12991.0,104.0,15.0,39.0,773.0,352.0,0.0\
1581,56625.0,119148.0,833.0,38.3,482400.0,2798.0,19035.0,12511.0,644.0,113.0,4844.0,1324.0,654.0,428.0\
22712,35103.0,88649.0,446.0,34.9,292900.0,1899.0,8209.0,6416.0,790.0,77.0,145.0,1352.0,643.0,37.0\
22714,48110.0,93750.0,39.0,39.5,354300.0,1981.0,1027.0,917.0,69.0,0.0,0.0,29.0,41.0,0.0\
22443,30738.0,53727.0,1249.0,44.7,204500.0,1396.0,8906.0,6816.0,1162.0,43.0,92.0,726.0,454.0,8.0\
22454,26372.0,49267.0,436.0,53.2,263700.0,1159.0,1968.0,1693.0,263.0,0.0,0.0,0.0,12.0,0.0\
22473,31015.0,50568.0,798.0,58.8,175000.0,1345.0,5013.0,2887.0,1952.0,0.0,0.0,80.0,174.0,5.0\
22553,38621.0,101931.0,581.0,37.6,326400.0,2086.0,15960.0,12168.0,2344.0,14.0,251.0,1108.0,829.0,61.0\
22560,26715.0,50372.0,882.0,44.8,204400.0,1291.0,6269.0,3284.0,2819.0,7.0,3.0,53.0,139.0,0.0\
73014,28335.0,63882.0,277.0,34.8,127100.0,1088.0,1623.0,1259.0,0.0,137.0,0.0,65.0,195.0,0.0\
73016,31978.0,97813.0,79.0,34.4,195100.0,1481.0,2377.0,2108.0,5.0,35.0,0.0,224.0,221.0,0.0\
73018,29882.0,51359.0,3060.0,39.9,99100.0,1011.0,20352.0,16507.0,1162.0,879.0,98.0,1494.0,1496.0,4.0\
43212,61789.0,66326.0,2035.0,30.6,381300.0,2205.0,22181.0,19175.0,757.0,5.0,943.0,996.0,1175.0,326.0\
