Zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
93306,23580.0,54450.0,15853.0,31.3,211100.0,1541.0,74296.0,51869.0,1727.0,1208.0,2455.0,48116.0,5176.0,228.0,35.46595,-118.78445,Bakersfield,Kern
93660,12475.0,39625.0,1057.0,26.7,171700.0,1114.0,4082.0,2231.0,40.0,0.0,0.0,3925.0,142.0,0.0,36.60932,-120.16514,San Joaquin,Fresno
93110,53375.0,93264.0,1332.0,46.9,844300.0,3063.0,15777.0,12042.0,311.0,287.0,674.0,4251.0,702.0,185.0,34.43913,-119.7666,Santa Barbara,Santa Barbara
93212,10656.0,42983.0,3911.0,34.4,162100.0,1160.0,22596.0,13033.0,2708.0,333.0,177.0,15641.0,2104.0,21.0,36.01649,-119.56937,Corcoran,Kings
93001,35490.0,66460.0,4487.0,38.8,579000.0,2285.0,31729.0,27211.0,274.0,499.0,705.0,13797.0,1683.0,376.0,34.35321,-119.31868,Ventura,Ventura
93234,13273.0,31788.0,2996.0,28.2,161100.0,1104.0,7258.0,2845.0,23.0,490.0,0.0,6868.0,738.0,48.0,36.19608,-120.08477,Huron,Fresno
93307,14747.0,42128.0,24624.0,26.8,172500.0,1269.0,86273.0,56739.0,5803.0,935.0,1966.0,68928.0,3937.0,467.0,35.2487,-118.93253,Bakersfield,Kern
93536,32443.0,84674.0,7492.0,36.9,352700.0,1983.0,68575.0,41823.0,8853.0,751.0,4105.0,22823.0,7332.0,364.0,34.75267,-118.3889,Lancaster,Los Angeles
93546,36265.0,69702.0,1140.0,37.0,460800.0,2168.0,9750.0,8322.0,49.0,17.0,593.0,3073.0,389.0,1259.0,37.60573,-118.85219,Mammoth Lakes,Mono
93669,14809.0,-666666666.0,0.0,57.5,235800.0,-666666666.0,320.0,314.0,0.0,6.0,0.0,3.0,0.0,0.0,37.28334,-119.54297,Wishon,Madera
93701,12332.0,23356.0,4659.0,28.5,184600.0,999.0,10398.0,5690.0,741.0,232.0,1011.0,7704.0,642.0,156.0,36.74955,-119.78772,Fresno,Fresno
93664,63794.0,106071.0,17.0,66.3,564100.0,1656.0,370.0,326.0,0.0,0.0,2.0,51.0,30.0,0.0,37.05671,-119.17981,Shaver Lake,Fresno
93218,10557.0,26905.0,237.0,29.3,122700.0,1131.0,827.0,496.0,0.0,15.0,0.0,742.0,108.0,0.0,35.86194,-119.03822,Ducor,Tulare
93260,22064.0,41382.0,36.0,50.0,134700.0,1750.0,244.0,157.0,87.0,0.0,0.0,0.0,0.0,0.0,35.81909,-118.66116,Posey,Tulare
93612,25650.0,46892.0,6138.0,33.6,226900.0,1469.0,35475.0,22373.0,1122.0,544.0,2822.0,14741.0,3323.0,112.0,36.81548,-119.71076,Clovis,Fresno
93621,66547.0,-666666666.0,0.0,47.9,-666666666.0,-666666666.0,118.0,117.0,0.0,0.0,1.0,82.0,0.0,0.0,36.8067,-119.13602,Dunlap,Fresno
92394,24072.0,61270.0,7512.0,31.1,241900.0,1563.0,34836.0,16787.0,7345.0,320.0,1464.0,18800.0,3597.0,25.0,34.563,-117.3542,Victorville,San Bernardino
92544,22585.0,53885.0,9702.0,33.6,253600.0,1652.0,50392.0,36403.0,2463.0,865.0,1152.0,23262.0,3223.0,183.0,33.64581,-116.86033,Hemet,Riverside
92067,95165.0,212188.0,936.0,45.4,2000001.0,4001.0,8968.0,7246.0,0.0,0.0,302.0,1668.0,1349.0,0.0,33.02087,-117.19209,Rancho Santa Fe,San Diego
92250,19428.0,49637.0,1692.0,37.2,236200.0,1366.0,8255.0,4980.0,57.0,0.0,57.0,6526.0,943.0,0.0,32.79188,-115.23454,Holtville,Imperial
92364,,-666666666.0,5.0,-666666666.0,-666666666.0,-666666666.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,35.35678,-115.43741,Nipton,San Bernardino
92545,22486.0,48052.0,5394.0,40.3,245400.0,1673.0,44278.0,31216.0,2943.0,639.0,1113.0,20239.0,2137.0,15.0,33.7311,-117.0359,Hemet,Riverside
92626,45669.0,95175.0,4054.0,35.8,803000.0,2724.0,50978.0,34043.0,1210.0,299.0,7250.0,13847.0,3181.0,616.0,33.67896,-117.90844,Costa Mesa,Orange
93242,23184.0,49659.0,488.0,32.0,232300.0,1104.0,3455.0,2582.0,0.0,53.0,127.0,2320.0,108.0,0.0,36.44115,-119.73024,Laton,Fresno
93591,18805.0,48911.0,781.0,35.0,191800.0,1158.0,6557.0,3979.0,373.0,18.0,26.0,4212.0,550.0,12.0,34.59656,-117.80955,Palmdale,Los Angeles
93616,16917.0,43281.0,770.0,29.4,266800.0,1551.0,2370.0,1440.0,0.0,0.0,127.0,2050.0,182.0,12.0,36.65468,-119.59437,Del Rey,Fresno
93728,19598.0,38091.0,4750.0,29.8,188600.0,1546.0,16738.0,10659.0,808.0,71.0,398.0,11298.0,2050.0,73.0,36.75729,-119.81816,Fresno,Fresno
93921,70149.0,93234.0,36.0,64.8,1617500.0,2958.0,2951.0,2712.0,2.0,0.0,54.0,99.0,183.0,0.0,36.55359,-121.92259,Carmel By The Sea,Monterey
93930,20449.0,57007.0,2764.0,30.8,314400.0,1707.0,17599.0,6557.0,141.0,84.0,174.0,14270.0,875.0,13.0,36.19924,-121.07282,King City,Monterey
93274,21186.0,55269.0,13951.0,28.4,227500.0,1503.0,75068.0,53749.0,2416.0,882.0,1627.0,48046.0,6939.0,202.0,36.17978,-119.37949,Tulare,Tulare
93627,9964.0,-666666666.0,0.0,21.6,-666666666.0,-666666666.0,134.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,36.51568,-120.10635,Helm,Fresno
93634,23356.0,-666666666.0,13.0,29.5,-666666666.0,-666666666.0,27.0,9.0,11.0,0.0,0.0,5.0,0.0,5.0,37.20583,-118.93652,Lakeshore,Fresno
93013,54708.0,82231.0,1224.0,43.4,819600.0,3126.0,17021.0,12321.0,126.0,174.0,302.0,7485.0,1500.0,256.0,34.42697,-119.48032,Carpinteria,Santa Barbara
93618,16811.0,46804.0,9627.0,26.8,217500.0,1423.0,31971.0,21633.0,102.0,187.0,498.0,26965.0,2124.0,119.0,36.52213,-119.38661,Dinuba,Tulare
93924,72043.0,127813.0,573.0,57.9,947000.0,3568.0,6421.0,5478.0,138.0,48.0,74.0,850.0,403.0,1.0,36.39489,-121.63406,Carmel Valley,Monterey
93925,17052.0,50987.0,382.0,30.5,438900.0,2186.0,1794.0,510.0,0.0,0.0,0.0,1663.0,35.0,0.0,36.60209,-121.42526,Chualar,Monterey
93667,29613.0,62446.0,348.0,48.0,251400.0,1428.0,2112.0,1704.0,0.0,259.0,0.0,111.0,130.0,0.0,36.96585,-119.31511,Tollhouse,Fresno
93673,12817.0,46406.0,170.0,26.0,159800.0,1469.0,702.0,563.0,0.0,0.0,2.0,618.0,20.0,5.0,36.45229,-119.48232,Traver,Tulare
