,Zip Code,Students Standard Exceeded,Students Standard Met,Students Standard Met and Above,Students Standard Nearly Met,Students Standard Not Met,Students with Scores,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Median Mortgage
0,90001,517.0,1295.0,1812.0,1485.0,2707.0,6004,8.610926049300465,21.568954030646236,30.179880079946702,24.733510992671555,45.08660892738175,425200
1,90002,209.0,476.0,685.0,659.0,1517.0,2861,7.3051380636141205,16.637539321915416,23.942677385529535,23.033904229290457,53.02341838518001,411500
2,90003,610.0,1386.0,1996.0,1679.0,3227.0,6902,8.838017965807014,20.08113590263692,28.91915386844393,24.326282237032746,46.75456389452333,430800
3,90004,787.0,785.0,1572.0,705.0,1005.0,3282,23.979280926264472,23.91834247410116,47.89762340036563,21.480804387568554,30.62157221206581,1148400
4,90005,714.0,1235.0,1949.0,1067.0,1413.0,4429,16.121020546398736,27.884398284037026,44.005418830435765,24.09121697900203,31.903364190562204,964700
5,90006,168.0,371.0,539.0,486.0,878.0,1903,8.82816605359958,19.495533368365738,28.32369942196532,25.538623226484496,46.13767735155018,716900
6,90007,530.0,1313.0,1843.0,1329.0,1805.0,4977,10.648985332529637,26.381354229455496,37.03033956198513,26.702833031946955,36.26682740606791,717300
7,90008,66.0,189.0,255.0,275.0,633.0,1163,5.674978503869303,16.251074806534824,21.92605331040413,23.6457437661221,54.428202923473776,781600
8,90010,50.0,122.0,172.0,143.0,206.0,521,9.596928982725528,23.41650671785029,33.01343570057582,27.447216890595012,39.53934740882917,822100
9,90011,760.0,1956.0,2716.0,2432.0,4610.0,9758,7.788481246156999,20.045091207214593,27.83357245337159,24.9231399877024,47.24328755892601,452100
10,90012,276.0,274.0,550.0,167.0,222.0,939,29.39297124600639,29.179978700745473,58.57294994675186,17.784877529286476,23.642172523961662,633000
11,90013,37.0,97.0,134.0,98.0,112.0,344,10.755813953488373,28.197674418604652,38.95348837209303,28.488372093023255,32.55813953488372,664800
12,90015,179.0,354.0,533.0,390.0,580.0,1503,11.909514304723885,23.55289421157685,35.462408516300734,25.948103792415168,38.5894876912841,715000
13,90016,235.0,531.0,766.0,556.0,915.0,2237,10.505140813589628,23.73714796602593,34.242288779615556,24.8547161376844,40.902995082700045,677500
14,90017,151.0,358.0,509.0,485.0,1277.0,2271,6.649053280493175,15.76398062527521,22.413033905768383,21.35623073535887,56.23073535887274,697100
15,90018,318.0,684.0,1002.0,718.0,1116.0,2836,11.212976022566997,24.118476727785616,35.33145275035261,25.317348377997178,39.35119887165021,704300
16,90019,429.0,576.0,1005.0,498.0,825.0,2328,18.427835051546392,24.742268041237114,43.170103092783506,21.391752577319586,35.43814432989691,1033900
17,90020,38.0,117.0,155.0,134.0,175.0,464,8.189655172413794,25.21551724137931,33.4051724137931,28.879310344827587,37.71551724137931,650300
18,90021,57.0,130.0,187.0,180.0,309.0,676,8.431952662721894,19.230769230769234,27.662721893491128,26.627218934911244,45.710059171597635,1013900
19,90022,733.0,1518.0,2251.0,1462.0,1923.0,5636,13.005677785663591,26.933995741660755,39.939673527324345,25.940383250532296,34.11994322214336,471000
20,90023,643.0,1381.0,2024.0,1368.0,1893.0,5285,12.166508987701041,26.130558183538316,38.297067171239355,25.88457899716178,35.81835383159886,479600
21,90024,341.0,241.0,582.0,123.0,148.0,853,39.976553341148886,28.25322391559203,68.2297772567409,14.419695193434936,17.35052754982415,1231000
22,90025,447.0,428.0,875.0,267.0,222.0,1364,32.77126099706745,31.378299120234605,64.14956011730204,19.574780058651026,16.27565982404692,905900
23,90026,489.0,812.0,1301.0,886.0,1241.0,3428,14.26487747957993,23.687281213535588,37.952158693115514,25.845974329054844,36.20186697782964,962100
24,90027,291.0,205.0,496.0,158.0,160.0,814,35.749385749385745,25.184275184275183,60.93366093366094,19.41031941031941,19.656019656019655,1287200
25,90028,261.0,480.0,741.0,423.0,603.0,1767,14.770797962648558,27.164685908319186,41.935483870967744,23.93887945670628,34.125636672325975,723000
26,90029,468.0,726.0,1194.0,548.0,593.0,2335,20.042826552462525,31.092077087794433,51.13490364025696,23.468950749464668,25.39614561027837,898400
27,90031,337.0,597.0,934.0,549.0,681.0,2164,15.573012939001849,27.587800369685766,43.160813308687615,25.369685767097966,31.469500924214415,616900
28,90032,460.0,642.0,1102.0,635.0,795.0,2532,18.167456556082147,25.355450236966824,43.52290679304897,25.078988941548186,31.398104265402843,605400
29,90033,521.0,705.0,1226.0,662.0,1110.0,2998,17.378252168112073,23.51567711807872,40.8939292861908,22.081387591727818,37.024683122081385,538900
30,90034,714.0,797.0,1511.0,536.0,509.0,2556,27.93427230046948,31.18153364632238,59.115805946791866,20.970266040688575,19.91392801251956,1152500
31,90035,338.0,427.0,765.0,289.0,290.0,1344,25.148809523809522,31.770833333333332,56.91964285714286,21.502976190476193,21.577380952380953,1494600
32,90036,87.0,66.0,153.0,65.0,58.0,276,31.521739130434785,23.91304347826087,55.434782608695656,23.55072463768116,21.014492753623188,1634700
33,90037,336.0,603.0,939.0,742.0,1367.0,3048,11.023622047244094,19.783464566929133,30.80708661417323,24.343832020997375,44.849081364829395,502000
34,90038,108.0,290.0,398.0,322.0,456.0,1176,9.183673469387756,24.65986394557823,33.843537414965986,27.380952380952383,38.775510204081634,945000
35,90039,228.0,163.0,391.0,122.0,135.0,648,35.18518518518518,25.154320987654323,60.339506172839506,18.82716049382716,20.833333333333336,972900
36,90040,55.0,133.0,188.0,151.0,276.0,615,8.94308943089431,21.6260162601626,30.569105691056908,24.552845528455283,44.87804878048781,452100
37,90041,669.0,621.0,1290.0,372.0,370.0,2032,32.923228346456696,30.561023622047244,63.48425196850393,18.30708661417323,18.208661417322837,886800
38,90042,377.0,684.0,1061.0,742.0,853.0,2656,14.194277108433734,25.75301204819277,39.94728915662651,27.936746987951803,32.11596385542169,731600
39,90043,243.0,674.0,917.0,823.0,1397.0,3137,7.746254383168632,21.48549569652534,29.231750079693974,26.23525661459994,44.532993305706086,684500
40,90044,330.0,738.0,1068.0,1011.0,2429.0,4508,7.320319432120674,16.37089618456078,23.691215616681454,22.42679680567879,53.881987577639755,461200
41,90045,547.0,537.0,1084.0,394.0,425.0,1903,28.744088281660535,28.218602207041517,56.96269048870205,20.70415133998949,22.333158171308458,1103500
42,90046,699.0,467.0,1166.0,326.0,307.0,1799,38.854919399666485,25.958866036687052,64.81378543635353,18.12117843246248,17.06503613118399,1290400
43,90047,219.0,566.0,785.0,692.0,1417.0,2894,7.567380787836904,19.557705597788527,27.12508638562543,23.911541119557704,48.963372494816866,519400
44,90048,92.0,60.0,152.0,43.0,61.0,256,35.9375,23.4375,59.375,16.796875,23.828125,1441200
45,90049,877.0,793.0,1670.0,346.0,289.0,2305,38.04772234273319,34.40347071583514,72.45119305856834,15.010845986984817,12.537960954446856,2000000
46,90057,195.0,378.0,573.0,411.0,717.0,1701,11.46384479717813,22.22222222222222,33.68606701940035,24.16225749559083,42.151675485008816,576200
47,90058,21.0,39.0,60.0,53.0,94.0,207,10.144927536231885,18.84057971014493,28.985507246376812,25.60386473429952,45.410628019323674,419600
48,90059,241.0,602.0,843.0,659.0,1177.0,2679,8.995893990294885,22.471071295259428,31.46696528555431,24.59873086972751,43.93430384471818,415100
49,90061,168.0,538.0,706.0,615.0,1313.0,2634,6.378132118451026,20.425208807896738,26.803340926347758,23.34851936218679,49.84813971146545,438800
50,90062,118.0,341.0,459.0,390.0,801.0,1650,7.151515151515151,20.666666666666668,27.81818181818182,23.636363636363637,48.54545454545455,550600
51,90063,1012.0,2154.0,3166.0,2433.0,3968.0,9567,10.57802864011707,22.514894951395423,33.09292359151249,25.431169645656947,41.47590676283056,481100
52,90064,283.0,289.0,572.0,215.0,260.0,1047,27.02960840496657,27.602674307545367,54.63228271251194,20.534861509073544,24.832855778414515,1388300
53,90065,716.0,1043.0,1759.0,843.0,961.0,3563,20.095425203480215,29.273084479371313,49.36850968285153,23.659837215829356,26.971653101319117,833400
54,90066,897.0,1071.0,1968.0,802.0,869.0,3639,24.649629018961253,29.43116240725474,54.08079142621599,22.039021709260787,23.88018686452322,1282100
55,90068,19.0,23.0,42.0,16.0,9.0,67,28.35820895522388,34.32835820895522,62.68656716417911,23.88059701492537,13.432835820895523,1500800
56,90069,72.0,34.0,106.0,20.0,10.0,136,52.94117647058824,25.0,77.94117647058823,14.705882352941178,7.352941176470589,890100
57,90077,123.0,37.0,160.0,13.0,6.0,179,68.71508379888269,20.670391061452513,89.3854748603352,7.262569832402235,3.35195530726257,2000000
58,90094,108.0,42.0,150.0,32.0,14.0,196,55.10204081632652,21.428571428571427,76.53061224489795,16.3265306122449,7.142857142857142,1132000
