,Zip Code,Students Standard Exceeded,Students Standard Met,Students Standard Met and Above,Students Standard Nearly Met,Students Standard Not Met,Students with Scores,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Median Mortgage
0,90001,430.0,787.0,1217.0,1439.0,3384.0,6040,7.119205298013245,13.029801324503312,20.14900662251656,23.824503311258276,56.026490066225165,425200
1,90002,144.0,304.0,448.0,661.0,1742.0,2851,5.050859347597334,10.66292528937215,15.713784636969486,23.18484742195721,61.101367941073306,411500
2,90003,427.0,900.0,1327.0,1689.0,3939.0,6955,6.139468008626888,12.940330697340045,19.07979870596693,24.284687275341483,56.63551401869159,430800
3,90004,611.0,611.0,1222.0,796.0,1338.0,3356,18.206197854588797,18.206197854588797,36.412395709177595,23.718712753277714,39.8688915375447,1148400
4,90005,487.0,749.0,1236.0,1137.0,2094.0,4467,10.902171479740318,16.767405417506158,27.669576897246472,25.453324378777705,46.87709872397583,964700
5,90006,116.0,245.0,361.0,486.0,1095.0,1942,5.9732234809474765,12.615859938208033,18.58908341915551,25.025746652935116,56.385169927909374,716900
6,90007,327.0,671.0,998.0,1248.0,2745.0,4991,6.551793227810059,13.44419955920657,19.995992787016633,25.005009016229213,54.99899819675416,717300
7,90008,29.0,101.0,130.0,250.0,794.0,1174,2.4701873935264054,8.603066439522998,11.073253833049405,21.29471890971039,67.6320272572402,781600
8,90010,23.0,57.0,80.0,135.0,318.0,533,4.315196998123827,10.694183864915573,15.0093808630394,25.328330206378986,59.66228893058161,822100
9,90011,367.0,1032.0,1399.0,2419.0,6036.0,9854,3.7243758879642783,10.472904404302822,14.1972802922671,24.548406738380354,61.25431296935254,452100
10,90012,195.0,197.0,392.0,227.0,317.0,936,20.833333333333336,21.04700854700855,41.88034188034188,24.252136752136753,33.86752136752137,633000
11,90013,26.0,46.0,72.0,97.0,184.0,353,7.365439093484419,13.031161473087819,20.396600566572236,27.47875354107649,52.124645892351275,664800
12,90015,104.0,243.0,347.0,391.0,776.0,1514,6.869220607661823,16.050198150594454,22.919418758256274,25.825627476882428,51.2549537648613,715000
13,90016,130.0,289.0,419.0,597.0,1226.0,2242,5.798394290811775,12.890276538804638,18.688670829616413,26.628010704727924,54.68331846565566,677500
14,90017,55.0,193.0,248.0,464.0,1581.0,2293,2.398604448320977,8.416921064108156,10.815525512429131,20.23549934583515,68.94897514173572,697100
15,90018,179.0,339.0,518.0,730.0,1602.0,2850,6.280701754385964,11.894736842105264,18.17543859649123,25.6140350877193,56.21052631578948,704300
16,90019,274.0,372.0,646.0,577.0,1119.0,2342,11.69940222032451,15.883859948761742,27.583262169086254,24.637062339880444,47.7796754910333,1033900
17,90020,31.0,67.0,98.0,117.0,254.0,469,6.609808102345416,14.285714285714285,20.8955223880597,24.946695095948826,54.15778251599147,650300
18,90021,33.0,79.0,112.0,175.0,413.0,700,4.714285714285714,11.285714285714285,16.0,25.0,59.0,1013900
19,90022,414.0,853.0,1267.0,1509.0,2838.0,5614,7.374421090131814,15.194157463484148,22.568578553615957,26.879230495190594,50.552190951193445,471000
20,90023,468.0,828.0,1296.0,1390.0,2654.0,5340,8.764044943820224,15.505617977528091,24.269662921348313,26.02996254681648,49.70037453183521,479600
21,90024,314.0,187.0,501.0,151.0,209.0,861,36.469221835075494,21.718931475029034,58.18815331010453,17.53774680603949,24.274099883855982,1231000
22,90025,375.0,273.0,648.0,346.0,356.0,1350,27.77777777777778,20.22222222222222,48.0,25.62962962962963,26.37037037037037,905900
23,90026,243.0,507.0,750.0,934.0,1761.0,3445,7.053701015965166,14.716981132075471,21.77068214804064,27.11175616835994,51.11756168359942,962100
24,90027,202.0,193.0,395.0,172.0,242.0,809,24.969097651421507,23.856613102595798,48.8257107540173,21.26081582200247,29.913473423980225,1287200
25,90028,149.0,218.0,367.0,406.0,1007.0,1780,8.370786516853933,12.247191011235955,20.617977528089888,22.808988764044944,56.57303370786517,723000
26,90029,390.0,397.0,787.0,608.0,924.0,2319,16.81759379042691,17.11944803794739,33.9370418283743,26.218197498921946,39.84476067270375,898400
27,90031,207.0,386.0,593.0,561.0,1011.0,2165,9.56120092378753,17.829099307159353,27.390300230946885,25.912240184757508,46.697459584295615,616900
28,90032,298.0,436.0,734.0,658.0,1133.0,2525,11.801980198019802,17.267326732673265,29.069306930693067,26.05940594059406,44.87128712871287,605400
29,90033,229.0,462.0,691.0,758.0,1560.0,3009,7.6105018278497845,15.353938185443669,22.96444001329345,25.191093386507145,51.844466600199404,538900
30,90034,592.0,431.0,1023.0,588.0,946.0,2557,23.15213140398905,16.85569026202581,40.007821666014856,22.995698083691828,36.99648025029331,1152500
31,90035,268.0,267.0,535.0,324.0,484.0,1343,19.955323901712585,19.880863737900224,39.83618763961281,24.125093075204767,36.03871928518243,1494600
32,90036,86.0,65.0,151.0,61.0,81.0,293,29.351535836177472,22.18430034129693,51.5358361774744,20.819112627986346,27.64505119453925,1634700
33,90037,195.0,395.0,590.0,778.0,1700.0,3068,6.3559322033898304,12.874837027379401,19.230769230769234,25.358539765319428,55.41069100391134,502000
34,90038,83.0,169.0,252.0,319.0,604.0,1175,7.0638297872340425,14.382978723404255,21.4468085106383,27.148936170212767,51.40425531914894,945000
35,90039,155.0,178.0,333.0,164.0,154.0,651,23.809523809523807,27.342549923195087,51.1520737327189,25.19201228878648,23.655913978494624,972900
36,90040,33.0,71.0,104.0,161.0,349.0,614,5.374592833876222,11.563517915309445,16.938110749185668,26.221498371335507,56.84039087947883,452100
37,90041,489.0,425.0,914.0,468.0,632.0,2014,24.280039721946377,21.102284011916584,45.38232373386296,23.23733862959285,31.38033763654419,886800
38,90042,270.0,461.0,731.0,749.0,1179.0,2659,10.154193305754044,17.33734486649116,27.491538172245207,28.168484392628805,44.33997743512599,731600
39,90043,105.0,293.0,398.0,739.0,1992.0,3129,3.3557046979865772,9.364014062000638,12.719718759987217,23.61776925535315,63.66251198465963,684500
