zip_code,median,lat,lng,mortgage
89010,109100,37.82511,-118.08079,13
89019,190500,35.76949,-115.51606,372
89060,166100,36.38854,-116.05769,2033
89061,259800,36.07143,-115.89957,1779
89439,508300,39.52291,-119.99008,368
90001,425200,33.97365,-118.24904,3195
90002,411500,33.94906,-118.24679,3894
90003,430800,33.96409,-118.27368,3717
90004,1148400,34.07624,-118.31101,2554
90005,964700,34.05939,-118.30909,1000
90006,716900,34.04807,-118.29411,1242
90007,717300,34.02819,-118.28486,895
90008,781600,34.01037,-118.3428,3652
90010,822100,34.06209,-118.31262,274
90011,452100,34.00689,-118.25861,5181
90012,633000,34.06679,-118.23878,605
90013,664800,34.04435,-118.24,514
90014,625000,34.04302,-118.25182,149
90015,715000,34.03932,-118.26625,611
90016,677500,34.02881,-118.35436,4626
90017,697100,34.05306,-118.26447,491
90018,704300,34.0286,-118.31737,3800
90019,1033900,34.04861,-118.33874,4326
90020,650300,34.06638,-118.30986,1108
90021,1013900,34.02909,-118.23889,94
90022,471000,34.02455,-118.15608,3858
90023,479600,34.02264,-118.19986,1858
90024,1231000,34.06565,-118.43521,3216
90025,905900,34.04551,-118.44583,3474
90026,962100,34.07883,-118.2637,4574
90027,1287200,34.12515,-118.29049,2766
90028,723000,34.09982,-118.3268,437
90029,898400,34.08983,-118.29467,1028
90031,616900,34.08122,-118.21081,2153
90032,605400,34.0793,-118.17835,4682
90033,538900,34.05117,-118.21165,1841
90034,1152500,34.03059,-118.39936,3098
90035,1494600,34.05139,-118.38577,2329
90036,1634700,34.07013,-118.34978,2051
90037,502000,34.00271,-118.28747,3286
90038,945000,34.08882,-118.32671,784
90039,972900,34.11242,-118.26153,3659
90040,452100,33.99318,-118.1489,1097
90041,886800,34.13749,-118.20746,3794
90042,731600,34.11475,-118.192,6812
90043,684500,33.98876,-118.33519,7185
90044,461200,33.95253,-118.29194,6256
90045,1103500,33.95302,-118.40028,5520
90046,1290400,34.10752,-118.36575,4434
90047,519400,33.95456,-118.30899,7124
90048,1441200,34.07293,-118.3727,2184
90049,2000000,34.08749,-118.48976,5610
90056,1114900,33.99361,-118.36884,1419
90057,576200,34.06205,-118.27704,375
90058,419600,34.00264,-118.21452,182
90059,415100,33.92709,-118.2491,3815
90061,438800,33.92037,-118.27383,2496
90062,550600,34.0035,-118.30904,3348
90063,481100,34.0452,-118.18583,3196
90064,1388300,34.0358,-118.42653,3808
90065,833400,34.10867,-118.22813,5371
90066,1282100,34.00166,-118.43104,5865
90067,1344900,34.0565,-118.41373,556
90068,1500800,34.12794,-118.32914,4003
90069,890100,34.09401,-118.38154,3775
90077,2000000,34.10536,-118.45591,1843
90094,1132000,33.97523,-118.41837,1549
90201,440500,33.97113,-118.1709,3353
90210,2000000,34.10251,-118.41505,3996
90211,2000000,34.06498,-118.38293,760
90212,2000000,34.06208,-118.40173,838
90220,394900,33.88058,-118.23591,5843
90221,412600,33.88542,-118.20614,4972
90222,420700,33.91213,-118.23721,3355
90230,849200,33.99691,-118.39487,5765
90232,1219100,34.01859,-118.39157,1809
90240,646900,33.9564,-118.11803,3499
90241,627700,33.94076,-118.1295,4083
90242,557700,33.92216,-118.14167,4336
90245,1244200,33.91709,-118.40161,2205
90247,540800,33.89159,-118.29735,3851
90248,571200,33.87689,-118.28362,1519
90249,584000,33.90152,-118.31707,3441
90250,661400,33.91383,-118.34996,7322
90254,1674500,33.86532,-118.39616,3271
90255,455000,33.97697,-118.21725,4144
90260,597300,33.88768,-118.34952,3412
90262,449600,33.92384,-118.20133,5367
90265,2000000,34.07282,-118.84995,3215
90266,2000000,33.88968,-118.39705,6419
90270,481800,33.98856,-118.18774,1119
90272,2000000,34.08066,-118.54459,4388
90274,1757700,33.77732,-118.3684,5148
90275,1247000,33.7555,-118.36338,8058
90277,1143800,33.83099,-118.38441,5368
90278,992600,33.87362,-118.37028,7339
