Park Name,Classificaiton,County,acres,Year Established,remarks
Admiral William Standley State Recreation Area,State recreation area,Mendocino,45,1944,Boastsredwoodsplussalmonandsteelheadfishing on theEel River.[2]
Ahjumawi Lava Springs State Park,State park,Shasta,"5,930",1975,Preserves a wilderness of freshwaterspringsand geologically recent lava flows.[3]
Albany State Marine Reserve,Park property,Alameda,,1985,"In development, not open to public. Unit will not become officially classified until action is also taken by the California Fish and Game Commission (ongoing since 2004)."
Anderson Marsh State Historic Park,State historic park,Lake,"1,298",1982,Preserves atulemarsh and ancient archaeological sites of thePomo people.[4]
Andrew Molera State Park,State park,Monterey,"4,766",1968,Offers a primitive walk-in campground on theBig Surcoast.[5]
Angel Island State Park,State park,MarinandSan Francisco,756,1955,"Interprets an island inSan Francisco Baywhose history encompassesCoast Miwokprehistory, ranching, the 1910–1940Angel Island Immigration Station, and long military use.[6]"
Año Nuevo State Park,State park,San Mateo,"4,209",1985,"EncompassesAño Nuevo Islandand Año Nuevo Point, which boasts the world's largest mainland rookery ofnorthern elephant seals.[7]"
Antelope Valley California Poppy Reserve,State natural reserve,Los Angeles,"1,781",1976,"Showcases the state's most-consistent blooms ofCalifornia poppy, in the highMojave Desert.[8]"
Antelope Valley Indian Museum State Historic Park,State historic park,Los Angeles,397,1979,Interprets the Native American cultures of theGreat Basinand surrounding regions in a 1928folk artbuilding on theNRHP.[9]
Anza-Borrego Desert State Park,State park,"San Diego,Imperial, andRiverside","585,930",1933,Preserves a vast tract of theColorado Desertin California's largest state park.[10]
Armstrong Redwoods State Natural Reserve,State natural reserve,Sonoma,752,1934,Preserves a grove ofcoast redwoods.[11]
Arthur B. Ripley Desert Woodland State Park,State park,Los Angeles,566,1993,Preserves a remnant stand ofJoshua treesandjunipersin theAntelope Valley.[12]
Asilomar State Beach,State beach,Monterey,107,1951,Balances protection of rocky coast and dune habitat with public access.[13]The 1913Asilomar Conference Groundsare aNational Historic Landmark.[14]
Auburn State Recreation Area,State recreation area,El DoradoandPlacer,"42,377",1966,Offers numerous recreational opportunities along the North and Middle Forks of theAmerican River.[15]
Austin Creek State Recreation Area,State recreation area,Sonoma,"5,927",1964,"Features a rugged wilderness onAustin Creek, adjacent toArmstrong Redwoods State Natural Reserve.[16]"
Azalea State Natural Reserve,State natural reserve,Humboldt,30,1943,Harbors a profusion of spring-bloomingwestern azaleas.[17]
Bale Grist Mill State Historic Park,State historic park,Napa,0.75,1974,Showcases a restored 1846 water-powered grist mill inNapa Valley.[18]The mill is on theNRHP.[19]
Bean Hollow State Beach,State beach,San Mateo,44,1958,Offers fishing and beachcombing amongtide pools.[20]
Benbow State Recreation Area,State recreation area,Humboldt,"1,142",1958,Centers on a reservoir on theSouth Fork Eel River.[21]
Benicia Capitol State Historic Park,State historic park,Solano,0.86,1951,"Interprets the third and oldest-surviving California capitol, used 1853–54.[22]The building is on theNRHP.[19]"
Benicia State Recreation Area,State recreation area,Solano,447,1957,Preserves a tidal wetland on theCarquinez Strait.[23]
Bethany Reservoir State Recreation Area,State recreation area,Alameda,609,1974,Offerswindsurfingand other water recreation on theBethany Reservoir.[24]
Bidwell Mansion State Historic Park,State historic park,Butte,5.2,1964,Offers tours of the 1868Victorianmansion of influential settlersJohnandAnnie Bidwell.[25]The mansion is on theNRHP.
Bidwell-Sacramento River State Park,State park,ButteandGlenn,349,1979,Preservesriparianhabitat on theSacramento Riverand its tributaryBig Chico Creek.[26]
Big Basin Redwoods State Park,State park,Santa Cruz,"18,050",1902,"Established as California's first state park, to preservecoast redwoodsonWaddell Creek.[27]"
Bodie State Historic Park,State historic park,Mono,"1,016",1962,"Preserves theghost townof Bodie, whose gold-mining heyday ran from 1877 to 1881, and is now aNational Historic Landmark.[28]"
Bolsa Chica State Beach,State beach,Orange,169,1960,Offerssurf fishingand catchinggrunionby hand.[29]
Border Field State Park,State park,San Diego,"1,316",1972,"Occupies the southwesternmost point of the contiguous U.S., on theMexico – United States border. Part of theTijuana River National Estuarine Research Reserve.[30]"
Bothe-Napa Valley State Park,State park,NapaandSonoma,"1,991",1960,Contains the farthest inlandcoast redwoodsin a California state park.[31]
Brannan Island State Recreation Area,State recreation area,Sacramento,329,1952,Offers water recreation amid a maze of channels in theSacramento–San Joaquin River Delta.[32]
Burleigh H. Murray Ranch,Park property,San Mateo,"1,325",1979,Encompasses a hidden valley with a historic ranch established in 1857.[33]
Burton Creek State Park,State park,Placer,"1,890",1976,Offers 6 miles (9.7 km) of unpaved roadway for hiking and cross-country skiing.[34]
