Index,Zip Code,Students Standard Exceeded_english2022,Students Standard Met_english2022,Students Standard Met and Above_english2022,Students Standard Nearly Met_english2022,Students Standard Not Met_english2022,Students with Scores_english2022,Percentage Standard Exceeded_english2022,Percentage Standard Met_english2022,Percentage Standard Met and Above_english2022,Percentage Standard Nearly Met_english2022,Percentage Standard Not Met_english2022,Median Mortgage
0,90001,517,1295,1812,1485,2707,6004,8.610926049,21.56895403,30.17988008,24.73351099,45.08660893,425200
1,90002,209,476,685,659,1517,2861,7.305138064,16.63753932,23.94267739,23.03390423,53.02341839,411500
2,90003,610,1386,1996,1679,3227,6902,8.838017966,20.0811359,28.91915387,24.32628224,46.75456389,430800
3,90004,787,785,1572,705,1005,3282,23.97928093,23.91834247,47.8976234,21.48080439,30.62157221,1148400
4,90005,714,1235,1949,1067,1413,4429,16.12102055,27.88439828,44.00541883,24.09121698,31.90336419,964700
5,90006,168,371,539,486,878,1903,8.828166054,19.49553337,28.32369942,25.53862323,46.13767735,716900
6,90007,530,1313,1843,1329,1805,4977,10.64898533,26.38135423,37.03033956,26.70283303,36.26682741,717300
7,90008,66,189,255,275,633,1163,5.674978504,16.25107481,21.92605331,23.64574377,54.42820292,781600
8,90010,50,122,172,143,206,521,9.596928983,23.41650672,33.0134357,27.44721689,39.53934741,822100
9,90011,760,1956,2716,2432,4610,9758,7.788481246,20.04509121,27.83357245,24.92313999,47.24328756,452100
10,90012,276,274,550,167,222,939,29.39297125,29.1799787,58.57294995,17.78487753,23.64217252,633000
11,90013,37,97,134,98,112,344,10.75581395,28.19767442,38.95348837,28.48837209,32.55813953,664800
12,90015,179,354,533,390,580,1503,11.9095143,23.55289421,35.46240852,25.94810379,38.58948769,715000
13,90016,235,531,766,556,915,2237,10.50514081,23.73714797,34.24228878,24.85471614,40.90299508,677500
14,90017,151,358,509,485,1277,2271,6.64905328,15.76398063,22.41303391,21.35623074,56.23073536,697100
15,90018,318,684,1002,718,1116,2836,11.21297602,24.11847673,35.33145275,25.31734838,39.35119887,704300
16,90019,429,576,1005,498,825,2328,18.42783505,24.74226804,43.17010309,21.39175258,35.43814433,1033900
17,90020,38,117,155,134,175,464,8.189655172,25.21551724,33.40517241,28.87931034,37.71551724,650300
18,90021,57,130,187,180,309,676,8.431952663,19.23076923,27.66272189,26.62721893,45.71005917,1013900
19,90022,733,1518,2251,1462,1923,5636,13.00567779,26.93399574,39.93967353,25.94038325,34.11994322,471000
20,90023,643,1381,2024,1368,1893,5285,12.16650899,26.13055818,38.29706717,25.884579,35.81835383,479600
21,90024,341,241,582,123,148,853,39.97655334,28.25322392,68.22977726,14.41969519,17.35052755,1231000
22,90025,447,428,875,267,222,1364,32.771261,31.37829912,64.14956012,19.57478006,16.27565982,905900
23,90026,489,812,1301,886,1241,3428,14.26487748,23.68728121,37.95215869,25.84597433,36.20186698,962100
24,90027,291,205,496,158,160,814,35.74938575,25.18427518,60.93366093,19.41031941,19.65601966,1287200
25,90028,261,480,741,423,603,1767,14.77079796,27.16468591,41.93548387,23.93887946,34.12563667,723000
26,90029,468,726,1194,548,593,2335,20.04282655,31.09207709,51.13490364,23.46895075,25.39614561,898400
27,90031,337,597,934,549,681,2164,15.57301294,27.58780037,43.16081331,25.36968577,31.46950092,616900
28,90032,460,642,1102,635,795,2532,18.16745656,25.35545024,43.52290679,25.07898894,31.39810427,605400
29,90033,521,705,1226,662,1110,2998,17.37825217,23.51567712,40.89392929,22.08138759,37.02468312,538900
30,90034,714,797,1511,536,509,2556,27.9342723,31.18153365,59.11580595,20.97026604,19.91392801,1152500
31,90035,338,427,765,289,290,1344,25.14880952,31.77083333,56.91964286,21.50297619,21.57738095,1494600
32,90036,87,66,153,65,58,276,31.52173913,23.91304348,55.43478261,23.55072464,21.01449275,1634700
33,90037,336,603,939,742,1367,3048,11.02362205,19.78346457,30.80708661,24.34383202,44.84908136,502000
34,90038,108,290,398,322,456,1176,9.183673469,24.65986395,33.84353741,27.38095238,38.7755102,945000
35,90039,228,163,391,122,135,648,35.18518519,25.15432099,60.33950617,18.82716049,20.83333333,972900
36,90040,55,133,188,151,276,615,8.943089431,21.62601626,30.56910569,24.55284553,44.87804878,452100
37,90041,669,621,1290,372,370,2032,32.92322835,30.56102362,63.48425197,18.30708661,18.20866142,886800
38,90042,377,684,1061,742,853,2656,14.19427711,25.75301205,39.94728916,27.93674699,32.11596386,731600
39,90043,243,674,917,823,1397,3137,7.746254383,21.4854957,29.23175008,26.23525661,44.53299331,684500
40,90044,330,738,1068,1011,2429,4508,7.320319432,16.37089618,23.69121562,22.42679681,53.88198758,461200
41,90045,547,537,1084,394,425,1903,28.74408828,28.21860221,56.96269049,20.70415134,22.33315817,1103500
42,90046,699,467,1166,326,307,1799,38.8549194,25.95886604,64.81378544,18.12117843,17.06503613,1290400
43,90047,219,566,785,692,1417,2894,7.567380788,19.5577056,27.12508639,23.91154112,48.96337249,519400
44,90048,92,60,152,43,61,256,35.9375,23.4375,59.375,16.796875,23.828125,1441200
45,90049,877,793,1670,346,289,2305,38.04772234,34.40347072,72.45119306,15.01084599,12.53796095,2000000
46,90057,195,378,573,411,717,1701,11.4638448,22.22222222,33.68606702,24.1622575,42.15167549,576200
47,90058,21,39,60,53,94,207,10.14492754,18.84057971,28.98550725,25.60386473,45.41062802,419600
48,90059,241,602,843,659,1177,2679,8.99589399,22.4710713,31.46696529,24.59873087,43.93430384,415100
49,90061,168,538,706,615,1313,2634,6.378132118,20.42520881,26.80334093,23.34851936,49.84813971,438800
50,90062,118,341,459,390,801,1650,7.151515152,20.66666667,27.81818182,23.63636364,48.54545455,550600
51,90063,1012,2154,3166,2433,3968,9567,10.57802864,22.51489495,33.09292359,25.43116965,41.47590676,481100
52,90064,283,289,572,215,260,1047,27.0296084,27.60267431,54.63228271,20.53486151,24.83285578,1388300
53,90065,716,1043,1759,843,961,3563,20.0954252,29.27308448,49.36850968,23.65983722,26.9716531,833400
54,90066,897,1071,1968,802,869,3639,24.64962902,29.43116241,54.08079143,22.03902171,23.88018686,1282100
55,90068,19,23,42,16,9,67,28.35820896,34.32835821,62.68656716,23.88059701,13.43283582,1500800
56,90069,72,34,106,20,10,136,52.94117647,25,77.94117647,14.70588235,7.352941176,890100
57,90077,123,37,160,13,6,179,68.7150838,20.67039106,89.38547486,7.262569832,3.351955307,2000000
58,90094,108,42,150,32,14,196,55.10204082,21.42857143,76.53061224,16.32653061,7.142857143,1132000
59,90201,873,1930,2803,2170,3381,8354,10.45008379,23.10270529,33.55278908,25.97558056,40.47163036,440500
60,90210,131,79,210,33,21,264,49.62121212,29.92424242,79.54545455,12.5,7.954545455,2000000
61,90211,149,77,226,41,38,305,48.85245902,25.24590164,74.09836066,13.44262295,12.45901639,2000000
62,90212,370,359,729,172,159,1060,34.90566038,33.86792453,68.77358491,16.22641509,15,2000000
63,90220,453,876,1329,806,1430,3565,12.70687237,24.57223001,37.27910238,22.60869565,40.11220196,394900
64,90221,474,1000,1474,1032,1759,4265,11.1137163,23.44665885,34.56037515,24.19695193,41.24267292,412600
65,90222,404,649,1053,516,642,2211,18.27227499,29.35323383,47.62550882,23.33785617,29.03663501,420700
66,90230,1132,1049,2181,655,580,3416,33.1381733,30.70843091,63.84660422,19.17447307,16.97892272,849200
