Year,County_name,County_dept,Crimes,Number of Crimes
2021,Alameda County,Alameda Co. Sheriff's Department,Violent_sum,10436
2021,Alpine County,Alpine Co. Sheriff's Department,Violent_sum,19
2021,Amador County,Amador Co. Sheriff's Department,Violent_sum,135
2021,Butte County,Butte Co. Sheriff's Department,Violent_sum,1110
2021,Calaveras County,Calaveras Co. Sheriff's Department,Violent_sum,185
2021,Colusa County,Colusa Co. Sheriff's Department,Violent_sum,55
2021,Contra Costa County,Contra Costa Co. Sheriff's Department,Violent_sum,4002
2021,Del Norte County,Del Norte Co. Sheriff's Department,Violent_sum,230
2021,El Dorado County,El Dorado Co. Sheriff's Department,Violent_sum,531
2021,Fresno County,Fresno Co. Sheriff's Department,Violent_sum,7405
2021,Glenn County,Glenn Co. Sheriff's Department,Violent_sum,115
2021,Humboldt County,Humboldt Co. Sheriff's Department,Violent_sum,670
2021,Imperial County,Imperial Co. Sheriff's Department,Violent_sum,560
2021,Inyo County,Inyo Co. Sheriff's Department,Violent_sum,121
2021,Kern County,Kern Co. Sheriff's Department,Violent_sum,6718
2021,Kings County,Kings Co. Sheriff's Department,Violent_sum,686
2021,Lake County,Lake Co. Sheriff's Department,Violent_sum,393
2021,Lassen County,Lassen Co. Sheriff's Department,Violent_sum,80
2021,Los Angeles County,Los Angeles Co. Sheriff's Department,Violent_sum,58177
2021,Madera County,Madera Co. Sheriff's Department,Violent_sum,1022
2021,Marin County,Marin Co. Sheriff's Department,Violent_sum,348
2021,Mariposa County,Mariposa Co. Sheriff's Department,Violent_sum,80
2021,Mendocino County,Mendocino Co. Sheriff's Department,Violent_sum,473
2021,Merced County,Merced Co. Sheriff's Department,Violent_sum,1833
2021,Modoc County,Modoc Co. Sheriff's Department,Violent_sum,13
2021,Mono County,Mono Co. Sheriff's Department,Violent_sum,33
2021,Monterey County,Monterey Co. Sheriff's Department,Violent_sum,2035
2021,Napa County,Napa Co. Sheriff's Department,Violent_sum,578
2021,Nevada County,Nevada Co. Sheriff's Department,Violent_sum,238
2021,Orange County,Orange Co. Sheriff's Department,Violent_sum,8144
2021,Placer County,Placer Co. Sheriff's Department,Violent_sum,740
2021,Plumas County,Plumas Co. Sheriff's Department,Violent_sum,178
2021,Riverside County,Riverside Co. Sheriff's Department,Violent_sum,7201
2021,Sacramento County,Sacramento Co. Sheriff's Department,Violent_sum,5034
2021,San Benito County,San Benito Co. Sheriff's Department,Violent_sum,292
2021,San Bernardino County,San Bernardino Co. Sheriff's Department,Violent_sum,12736
2021,San Diego County,San Diego Co. Sheriff's Department,Violent_sum,12286
2021,San Francisco County,San Francisco,Violent_sum,4996
2021,San Joaquin County,San Joaquin Co. Sheriff's Department,Violent_sum,5371
2021,San Luis Obispo County,San Luis Obispo Co. Sheriff's Department,Violent_sum,903
2021,San Mateo County,San Mateo Co. Sheriff's Department,Violent_sum,1687
2021,Santa Barbara County,Santa Barbara Co. Sheriff's Department,Violent_sum,1726
2021,Santa Clara County,Santa Clara Co. Sheriff's Department,Violent_sum,6800
2021,Santa Cruz County,Santa Cruz Co. Sheriff's Department,Violent_sum,1052
2021,Shasta County,Shasta Co. Sheriff's Department,Violent_sum,27
2021,Sierra County,Sierra Co. Sheriff's Department,Violent_sum,6
2021,Siskiyou County,Siskiyou Co. Sheriff's Department,Violent_sum,259
2021,Solano County,Solano Co. Sheriff's Department,Violent_sum,2294
2021,Sonoma County,Sonoma Co. Sheriff's Department,Violent_sum,1946
2021,Stanislaus County,Stanislaus Co. Sheriff's Department,Violent_sum,2740
2021,Sutter County,Sutter Co. Sheriff's Department,Violent_sum,414
2021,Tehama County,Tehama Co. Sheriff's Department,Violent_sum,355
2021,Trinity County,Trinity Co. Sheriff's Department,Violent_sum,83
2021,Tulare County,Tulare Co. Sheriff's Department,Violent_sum,1635
2021,Tuolumne County,Tuolumne Co. Sheriff's Department,Violent_sum,322
2021,Ventura County,Ventura Co. Sheriff's Department,Violent_sum,1758
