zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
93306,23580,54450,15853,31.3,211100,1541,74296,51869,1727,1208,2455,48116,5176,228,35.46595,-118.78445,Bakersfield,Kern
93660,12475,39625,1057,26.7,171700,1114,4082,2231,40,0,0,3925,142,0,36.60932,-120.16514,San Joaquin,Fresno
93110,53375,93264,1332,46.9,844300,3063,15777,12042,311,287,674,4251,702,185,34.43913,-119.7666,Santa Barbara,Santa Barbara
93212,10656,42983,3911,34.4,162100,1160,22596,13033,2708,333,177,15641,2104,21,36.01649,-119.56937,Corcoran,Kings
93001,35490,66460,4487,38.8,579000,2285,31729,27211,274,499,705,13797,1683,376,34.35321,-119.31868,Ventura,Ventura
93234,13273,31788,2996,28.2,161100,1104,7258,2845,23,490,0,6868,738,48,36.19608,-120.08477,Huron,Fresno
93307,14747,42128,24624,26.8,172500,1269,86273,56739,5803,935,1966,68928,3937,467,35.2487,-118.93253,Bakersfield,Kern
93536,32443,84674,7492,36.9,352700,1983,68575,41823,8853,751,4105,22823,7332,364,34.75267,-118.3889,Lancaster,Los Angeles
93546,36265,69702,1140,37,460800,2168,9750,8322,49,17,593,3073,389,1259,37.60573,-118.85219,Mammoth Lakes,Mono
93669,14809,,0,57.5,235800,,320,314,0,6,0,3,0,0,37.28334,-119.54297,Wishon,Madera
93701,12332,23356,4659,28.5,184600,999,10398,5690,741,232,1011,7704,642,156,36.74955,-119.78772,Fresno,Fresno
93664,63794,106071,17,66.3,564100,1656,370,326,0,0,2,51,30,0,37.05671,-119.17981,Shaver Lake,Fresno
93218,10557,26905,237,29.3,122700,1131,827,496,0,15,0,742,108,0,35.86194,-119.03822,Ducor,Tulare
93260,22064,41382,36,50,134700,1750,244,157,87,0,0,0,0,0,35.81909,-118.66116,Posey,Tulare
93612,25650,46892,6138,33.6,226900,1469,35475,22373,1122,544,2822,14741,3323,112,36.81548,-119.71076,Clovis,Fresno
93621,66547,,0,47.9,,,118,117,0,0,1,82,0,0,36.8067,-119.13602,Dunlap,Fresno
92394,24072,61270,7512,31.1,241900,1563,34836,16787,7345,320,1464,18800,3597,25,34.563,-117.3542,Victorville,San Bernardino
92544,22585,53885,9702,33.6,253600,1652,50392,36403,2463,865,1152,23262,3223,183,33.64581,-116.86033,Hemet,Riverside
92067,95165,212188,936,45.4,2000001,4001,8968,7246,0,0,302,1668,1349,0,33.02087,-117.19209,Rancho Santa Fe,San Diego
92250,19428,49637,1692,37.2,236200,1366,8255,4980,57,0,57,6526,943,0,32.79188,-115.23454,Holtville,Imperial
92364,,,5,,,,5,5,0,0,0,0,0,0,35.35678,-115.43741,Nipton,San Bernardino
92545,22486,48052,5394,40.3,245400,1673,44278,31216,2943,639,1113,20239,2137,15,33.7311,-117.0359,Hemet,Riverside
92626,45669,95175,4054,35.8,803000,2724,50978,34043,1210,299,7250,13847,3181,616,33.67896,-117.90844,Costa Mesa,Orange
93242,23184,49659,488,32,232300,1104,3455,2582,0,53,127,2320,108,0,36.44115,-119.73024,Laton,Fresno
93591,18805,48911,781,35,191800,1158,6557,3979,373,18,26,4212,550,12,34.59656,-117.80955,Palmdale,Los Angeles
93616,16917,43281,770,29.4,266800,1551,2370,1440,0,0,127,2050,182,12,36.65468,-119.59437,Del Rey,Fresno
93728,19598,38091,4750,29.8,188600,1546,16738,10659,808,71,398,11298,2050,73,36.75729,-119.81816,Fresno,Fresno
93921,70149,93234,36,64.8,1617500,2958,2951,2712,2,0,54,99,183,0,36.55359,-121.92259,Carmel By The Sea,Monterey
93930,20449,57007,2764,30.8,314400,1707,17599,6557,141,84,174,14270,875,13,36.19924,-121.07282,King City,Monterey
93274,21186,55269,13951,28.4,227500,1503,75068,53749,2416,882,1627,48046,6939,202,36.17978,-119.37949,Tulare,Tulare
93627,9964,,0,21.6,,,134,0,0,0,0,134,0,0,36.51568,-120.10635,Helm,Fresno
93634,23356,,13,29.5,,,27,9,11,0,0,5,0,5,37.20583,-118.93652,Lakeshore,Fresno
93013,54708,82231,1224,43.4,819600,3126,17021,12321,126,174,302,7485,1500,256,34.42697,-119.48032,Carpinteria,Santa Barbara
93618,16811,46804,9627,26.8,217500,1423,31971,21633,102,187,498,26965,2124,119,36.52213,-119.38661,Dinuba,Tulare
93924,72043,127813,573,57.9,947000,3568,6421,5478,138,48,74,850,403,1,36.39489,-121.63406,Carmel Valley,Monterey
93925,17052,50987,382,30.5,438900,2186,1794,510,0,0,0,1663,35,0,36.60209,-121.42526,Chualar,Monterey
93667,29613,62446,348,48,251400,1428,2112,1704,0,259,0,111,130,0,36.96585,-119.31511,Tollhouse,Fresno
93673,12817,46406,170,26,159800,1469,702,563,0,0,2,618,20,5,36.45229,-119.48232,Traver,Tulare
93261,9103,20956,1135,34.6,119500,900,2179,1383,0,0,19,2164,188,0,35.81147,-119.11673,Richgrove,Tulare
96023,19685,33403,227,42.6,115200,860,1188,1017,10,37,18,358,50,0,41.92108,-121.97592,Dorris,Siskiyou
96039,23646,33523,253,54.7,153500,1074,896,516,4,205,17,70,132,1,41.66376,-123.37711,Happy Camp,Siskiyou
96048,28329,52950,68,60,332400,1181,795,703,0,38,6,132,9,0,40.82613,-123.05594,Junction City,Trinity
96050,26550,28438,137,62.3,174500,1646,414,368,0,6,3,31,37,0,41.85389,-122.95689,Klamath River,Siskiyou
96051,29859,55966,287,58.1,233100,1450,1193,1072,6,10,55,71,50,12,40.90112,-122.35664,Lakehead,Shasta
96001,33616,58673,3936,41.5,299600,1785,34008,29287,447,892,1146,2998,1515,51,40.57731,-122.45443,Redding,Shasta
96010,20334,35278,2,52.9,,,96,89,0,7,0,11,0,0,40.89735,-123.24365,Big Bar,Trinity
96011,14253,25089,104,43.5,125000,,260,221,4,18,1,15,15,0,41.05762,-121.89157,Big Bend,Shasta
96029,19221,44327,43,38.4,331300,1600,190,167,0,0,0,38,8,0,39.94003,-122.48743,Flournoy,Tehama
96041,18311,29198,783,42.9,236700,923,2871,2430,47,77,78,438,91,0,40.52059,-123.19991,Hayfork,Trinity
96046,19399,,19,61.2,,,124,124,0,0,0,0,0,0,40.61118,-123.43151,Hyampom,Trinity
96061,,,0,,,,0,0,0,0,0,0,0,0,40.34407,-121.48767,Mill Creek,Tehama
