zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
93306,23580.0,54450.0,15853,31.3,211100.0,1541.0,74296,51869,1727,1208,2455,48116,5176,228,35.46595,-118.78445,Bakersfield,Kern
93660,12475.0,39625.0,1057,26.7,171700.0,1114.0,4082,2231,40,0,0,3925,142,0,36.609320000000004,-120.16514,San Joaquin,Fresno
93110,53375.0,93264.0,1332,46.9,844300.0,3063.0,15777,12042,311,287,674,4251,702,185,34.43913,-119.7666,Santa Barbara,Santa Barbara
93212,10656.0,42983.0,3911,34.4,162100.0,1160.0,22596,13033,2708,333,177,15641,2104,21,36.016490000000005,-119.56936999999999,Corcoran,Kings
93001,35490.0,66460.0,4487,38.8,579000.0,2285.0,31729,27211,274,499,705,13797,1683,376,34.35321,-119.31868,Ventura,Ventura
93234,13273.0,31788.0,2996,28.2,161100.0,1104.0,7258,2845,23,490,0,6868,738,48,36.19608,-120.08476999999999,Huron,Fresno
93307,14747.0,42128.0,24624,26.8,172500.0,1269.0,86273,56739,5803,935,1966,68928,3937,467,35.2487,-118.93253,Bakersfield,Kern
93536,32443.0,84674.0,7492,36.9,352700.0,1983.0,68575,41823,8853,751,4105,22823,7332,364,34.75267,-118.3889,Lancaster,Los Angeles
93546,36265.0,69702.0,1140,37.0,460800.0,2168.0,9750,8322,49,17,593,3073,389,1259,37.60573,-118.85219,Mammoth Lakes,Mono
93669,14809.0,,0,57.5,235800.0,,320,314,0,6,0,3,0,0,37.28334,-119.54297,Wishon,Madera
93701,12332.0,23356.0,4659,28.5,184600.0,999.0,10398,5690,741,232,1011,7704,642,156,36.74955,-119.78772,Fresno,Fresno
93664,63794.0,106071.0,17,66.3,564100.0,1656.0,370,326,0,0,2,51,30,0,37.056709999999995,-119.17981,Shaver Lake,Fresno
93218,10557.0,26905.0,237,29.3,122700.0,1131.0,827,496,0,15,0,742,108,0,35.861940000000004,-119.03822,Ducor,Tulare
93260,22064.0,41382.0,36,50.0,134700.0,1750.0,244,157,87,0,0,0,0,0,35.81909,-118.66116000000001,Posey,Tulare
93612,25650.0,46892.0,6138,33.6,226900.0,1469.0,35475,22373,1122,544,2822,14741,3323,112,36.81548,-119.71076000000001,Clovis,Fresno
93621,66547.0,,0,47.9,,,118,117,0,0,1,82,0,0,36.8067,-119.13602,Dunlap,Fresno
92394,24072.0,61270.0,7512,31.1,241900.0,1563.0,34836,16787,7345,320,1464,18800,3597,25,34.563,-117.3542,Victorville,San Bernardino
92544,22585.0,53885.0,9702,33.6,253600.0,1652.0,50392,36403,2463,865,1152,23262,3223,183,33.64581,-116.86033,Hemet,Riverside
92067,95165.0,212188.0,936,45.4,2000001.0,4001.0,8968,7246,0,0,302,1668,1349,0,33.02087,-117.19209,Rancho Santa Fe,San Diego
92250,19428.0,49637.0,1692,37.2,236200.0,1366.0,8255,4980,57,0,57,6526,943,0,32.79188,-115.23454,Holtville,Imperial
92364,,,5,,,,5,5,0,0,0,0,0,0,35.35678,-115.43741000000001,Nipton,San Bernardino
92545,22486.0,48052.0,5394,40.3,245400.0,1673.0,44278,31216,2943,639,1113,20239,2137,15,33.7311,-117.0359,Hemet,Riverside
