Index,Zip Code,Students Standard Exceeded_english2021,Students Standard Met_english2021,Students Standard Met and Above_english2021,Students Standard Nearly Met_english2021,Students Standard Not Met_english2021,Students with Scores_english2021,Percentage Standard Exceeded_english2021,Percentage Standard Met_english2021,Percentage Standard Met and Above_english2021,Percentage Standard Nearly Met_english2021,Percentage Standard Not Met_english2021,Median Mortgage
0,90001,33,103,136,135,112,383,8.61618799,26.89295039,35.50913838,35.24804178,29.24281984,425200
1,90002,5,32,37,18,42,97,5.154639175,32.98969072,38.1443299,18.55670103,43.29896907,411500
2,90003,61,110,171,133,245,549,11.11111111,20.03642987,31.14754098,24.22586521,44.62659381,430800
3,90004,26,35,61,26,21,108,24.07407407,32.40740741,56.48148148,24.07407407,19.44444444,1148400
4,90005,176,365,541,329,396,1266,13.90205371,28.83096367,42.73301738,25.98736177,31.27962085,964700
5,90006,39,45,84,21,14,119,32.77310924,37.81512605,70.58823529,17.64705882,11.76470588,716900
6,90007,140,261,401,265,353,1019,13.73895976,25.61334642,39.35230618,26.00588813,34.64180569,717300
7,90010,14,22,36,18,17,71,19.71830986,30.98591549,50.70422535,25.35211268,23.94366197,822100
8,90011,95,203,298,214,288,800,11.875,25.375,37.25,26.75,36,452100
9,90012,174,178,352,80,53,485,35.87628866,36.70103093,72.57731959,16.49484536,10.92783505,633000
10,90013,53,122,175,90,103,368,14.40217391,33.15217391,47.55434783,24.45652174,27.98913043,664800
11,90015,34,105,139,130,162,431,7.88863109,24.36194896,32.25058005,30.16241299,37.58700696,715000
12,90016,30,166,196,163,251,610,4.918032787,27.21311475,32.13114754,26.72131148,41.14754098,677500
13,90017,45,108,153,132,245,530,8.490566038,20.37735849,28.86792453,24.90566038,46.22641509,697100
14,90018,38,41,79,38,24,141,26.95035461,29.07801418,56.02836879,26.95035461,17.0212766,704300
15,90019,51,91,142,75,91,308,16.55844156,29.54545455,46.1038961,24.35064935,29.54545455,1033900
16,90020,36,117,153,127,161,441,8.163265306,26.53061224,34.69387755,28.79818594,36.50793651,650300
17,90021,1,11,12,24,51,87,1.149425287,12.64367816,13.79310345,27.5862069,58.62068966,1013900
