Index,Zip Code,Students Standard Exceeded_math2021,Students Standard Met_math2021,Students Standard Met and Above_math2021,Students Standard Nearly Met_math2021,Students Standard Not Met_math2021,Students with Scores_math2021,Percentage Standard Exceeded_math2021,Percentage Standard Met_math2021,Percentage Standard Met and Above_math2021,Percentage Standard Nearly Met_math2021,Percentage Standard Not Met_math2021,Median Mortgage
0,90001,10,45,55,114,225,394,2.538071066,11.4213198,13.95939086,28.93401015,57.10659898,425200
1,90002,1,8,9,24,62,95,1.052631579,8.421052632,9.473684211,25.26315789,65.26315789,411500
2,90003,15,80,95,152,320,567,2.645502646,14.10934744,16.75485009,26.80776014,56.43738977,430800
3,90004,13,28,41,20,43,104,12.5,26.92307692,39.42307692,19.23076923,41.34615385,1148400
4,90005,46,78,124,122,214,460,10,16.95652174,26.95652174,26.52173913,46.52173913,964700
5,90006,15,23,38,36,46,120,12.5,19.16666667,31.66666667,30,38.33333333,716900
6,90007,61,115,176,268,559,1003,6.081754736,11.46560319,17.54735793,26.71984048,55.7328016,717300
7,90010,3,8,11,19,37,67,4.47761194,11.94029851,16.41791045,28.35820896,55.2238806,822100
8,90011,24,89,113,217,446,776,3.092783505,11.46907216,14.56185567,27.96391753,57.4742268,452100
9,90012,85,111,196,129,155,480,17.70833333,23.125,40.83333333,26.875,32.29166667,633000
10,90013,50,72,122,95,158,375,13.33333333,19.2,32.53333333,25.33333333,42.13333333,664800
11,90015,13,40,53,115,250,418,3.110047847,9.56937799,12.67942584,27.51196172,59.80861244,715000
12,90016,15,56,71,158,373,602,2.491694352,9.302325581,11.79401993,26.24584718,61.96013289,677500
13,90017,14,53,67,128,322,517,2.707930368,10.25145068,12.95938104,24.7582205,62.28239845,697100
14,90018,15,33,48,42,74,164,9.146341463,20.12195122,29.26829268,25.6097561,45.12195122,704300
15,90019,22,48,70,81,148,299,7.357859532,16.05351171,23.41137124,27.090301,49.49832776,1033900
16,90020,27,82,109,139,189,437,6.178489703,18.76430206,24.94279176,31.80778032,43.24942792,650300
17,90021,0,4,4,11,60,75,0,5.333333333,5.333333333,14.66666667,80,1013900
18,90022,69,235,304,390,733,1427,4.835318851,16.46811493,21.30343378,27.33006307,51.36650315,471000
19,90023,9,38,47,79,109,235,3.829787234,16.17021277,20,33.61702128,46.38297872,479600
20,90025,162,185,347,222,227,796,20.35175879,23.24120603,43.59296482,27.88944724,28.51758794,905900
21,90026,25,63,88,200,408,696,3.591954023,9.051724138,12.64367816,28.73563218,58.62068966,962100
22,90027,76,83,159,75,46,280,27.14285714,29.64285714,56.78571429,26.78571429,16.42857143,1287200
23,90028,20,51,71,93,175,339,5.899705015,15.04424779,20.9439528,27.43362832,51.62241888,723000
24,90031,83,181,264,293,577,1134,7.319223986,15.96119929,23.28042328,25.8377425,50.88183422,616900
25,90032,20,52,72,78,119,269,7.434944238,19.33085502,26.76579926,28.99628253,44.23791822,605400
26,90033,155,262,417,348,483,1248,12.41987179,20.99358974,33.41346154,27.88461538,38.70192308,538900
27,90034,36,75,111,113,129,353,10.19830028,21.24645892,31.44475921,32.01133144,36.54390935,1152500
28,90035,68,63,131,34,47,212,32.0754717,29.71698113,61.79245283,16.03773585,22.16981132,1494600
29,90036,0,0,0,2,9,11,0,0,0,18.18181818,81.81818182,1634700
30,90037,24,56,80,95,196,371,6.469002695,15.09433962,21.56334232,25.606469,52.83018868,502000
31,90040,20,72,92,152,376,620,3.225806452,11.61290323,14.83870968,24.51612903,60.64516129,452100
32,90041,60,64,124,88,177,389,15.42416452,16.45244216,31.87660668,22.62210797,45.50128535,886800
33,90042,37,65,102,82,92,276,13.4057971,23.55072464,36.95652174,29.71014493,33.33333333,731600
34,90043,35,96,131,256,585,972,3.600823045,9.87654321,13.47736626,26.33744856,60.18518519,684500
35,90044,1,11,12,27,73,112,0.892857143,9.821428571,10.71428571,24.10714286,65.17857143,461200
36,90045,157,133,290,159,176,625,25.12,21.28,46.4,25.44,28.16,1103500
37,90046,43,66,109,69,96,274,15.69343066,24.08759124,39.7810219,25.18248175,35.03649635,1290400
38,90047,40,96,136,204,491,831,4.813477738,11.55234657,16.36582431,24.54873646,59.08543923,519400
39,90057,66,72,138,130,173,441,14.96598639,16.32653061,31.29251701,29.47845805,39.22902494,576200
40,90059,23,90,113,120,129,362,6.35359116,24.86187845,31.21546961,33.14917127,35.63535912,415100
41,90061,0,11,11,25,43,79,0,13.92405063,13.92405063,31.64556962,54.43037975,438800
42,90062,2,7,9,27,127,163,1.226993865,4.294478528,5.521472393,16.56441718,77.91411043,550600
43,90063,14,50,64,154,384,602,2.325581395,8.305647841,10.63122924,25.58139535,63.78737542,481100
44,90064,1,2,3,6,17,26,3.846153846,7.692307692,11.53846154,23.07692308,65.38461538,1388300
45,90065,102,109,211,161,199,571,17.86339755,19.08931699,36.95271454,28.19614711,34.85113835,833400
46,90066,42,73,115,89,142,346,12.13872832,21.0982659,33.23699422,25.72254335,41.04046243,1282100
47,90201,208,426,634,898,2162,3694,5.630752572,11.5322144,17.16296697,24.30969139,58.52734164,440500
48,90210,85,110,195,67,39,301,28.23920266,36.5448505,64.78405316,22.25913621,12.95681063,2000000
49,90211,127,88,215,103,42,360,35.27777778,24.44444444,59.72222222,28.61111111,11.66666667,2000000
