zipcode,median,lat_x,lng_x,mortgage,lat_y,lng_y,city,population,density,county,county_seat,est,etymology,popl_2022,area,gdp_usd,gdp_rank
90001,425200,33.97365,-118.24904,3195,33.97365,-118.24904,Los Angeles,58245,6856.0,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90002,411500,33.949059999999996,-118.24678999999999,3894,33.949059999999996,-118.24678999999999,Los Angeles,54384,7016.7,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90003,430800,33.96409,-118.27368,3717,33.96409,-118.27368,Los Angeles,75190,8007.9,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90004,1148400,34.076240000000006,-118.31101000000001,2554,34.076240000000006,-118.31101000000001,Los Angeles,59621,7545.6,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90005,964700,34.05939,-118.30909,1000,34.05939,-118.30909,Los Angeles,36910,12078.9,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90006,716900,34.04807,-118.29411,1242,34.04807,-118.29411,Los Angeles,57136,11408.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90007,717300,34.02819,-118.28486000000001,895,34.02819,-118.28486000000001,Los Angeles,41270,6557.0,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90008,781600,34.01037,-118.3428,3652,34.01037,-118.3428,Los Angeles,31046,4142.9,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90010,822100,34.062090000000005,-118.31262,274,34.062090000000005,-118.31262,Los Angeles,4313,4264.7,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90011,452100,34.006890000000006,-118.25861,5181,34.006890000000006,-118.25861,Los Angeles,109511,9858.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
